method,pattern,space,score,target,issue
org.apache.pdfbox.examples.pdmodel.Annotation.main(String[]),HotCallee,org.apache.pdfbox.examples.pdmodel.Annotation.main(String[]),0.11663749134329993,,
org.apache.pdfbox.examples.pdmodel.PrintURLs.main(String[]),,org.apache.pdfbox.examples.pdmodel.PrintURLs.main(String[]),0.11494694538683688,,
"org.apache.pdfbox.pdmodel.PDPage.convertToImage(int, int)",HotExec,"org.apache.pdfbox.pdmodel.PDPage.convertToImage(int, int)",0.11348879947715296,,
"org.apache.pdfbox.examples.pdmodel.ReplaceString.doIt(String, String, String, String)",,"org.apache.pdfbox.examples.pdmodel.ReplaceString.doIt(String, String, String, String)",0.11339474394843516,,
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.PDOutlineItem(COSDictionary),FreqExec,"org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.PDOutlineItem(COSDictionary), org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getNextSibling()",0.11223505663876857,,
org.apache.pdfbox.io.PushBackInputStream.isEOF(),FreqExec,"org.apache.pdfbox.io.PushBackInputStream.isEOF(), org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(), org.apache.pdfbox.pdfparser.BaseParser.readLine(), org.apache.pdfbox.pdfparser.PDFParser.parseXrefTable(long), org.apache.pdfbox.pdfparser.PDFParser.parseObject(), org.apache.pdfbox.pdfparser.PDFParser.skipToNextObj(), org.apache.pdfbox.pdfparser.PDFParser.parse()",0.11195153175028781,org.apache.pdfbox.pdfparser.BaseParser.readLine(),PDFBOX-2893
"org.apache.pdfbox.filter.TIFFFaxDecoder.decode2D(byte[], byte[], int, int, long)",,"org.apache.pdfbox.filter.TIFFFaxDecoder.decode2D(byte[], byte[], int, int, long)",0.1117572817108498,,
org.apache.pdfbox.io.PushBackInputStream.peek(),FreqExec,"org.apache.pdfbox.io.PushBackInputStream.peek(), org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(), org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(), org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(), org.apache.pdfbox.io.PushBackInputStream.isEOF(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(), org.apache.pdfbox.pdfparser.PDFParser.parseXrefTable(long), org.apache.pdfbox.pdfparser.PDFParser.parseObject()",0.11156582147869651,"org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue()","PDFBOX-2893, PDFBOX-2893"
org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(),"HotCyclic, FreqExec","org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(), org.apache.pdfbox.pdfparser.PDFParser.parseObject(), org.apache.pdfbox.pdfparser.PDFObjectStreamParser.parse()",0.1103692074558335,org.apache.pdfbox.pdfparser.PDFObjectStreamParser.parse(),PDFBOX-2893
org.apache.pdfbox.pdfviewer.PageDrawer.processTextPosition(TextPosition),FreqExec,"org.apache.pdfbox.pdfviewer.PageDrawer.processTextPosition(TextPosition), org.apache.pdfbox.util.PDFStreamEngine.processEncodedText(byte[])",0.11029532795465449,org.apache.pdfbox.pdfviewer.PageDrawer.processTextPosition(TextPosition),PDFBOX-1893
org.apache.pdfbox.OverlayPDF.main(String[]),,org.apache.pdfbox.OverlayPDF.main(String[]),0.11022507273525031,,
org.apache.pdfbox.pdfwriter.COSWriter.doWriteXRef(COSDocument),,org.apache.pdfbox.pdfwriter.COSWriter.doWriteXRef(COSDocument),0.10915095504140791,,
org.apache.pdfbox.PrintPDF.main(String[]),,org.apache.pdfbox.PrintPDF.main(String[]),0.10826023011790335,,
org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(),"HotCyclic, FreqExec","org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(), org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue()",0.10809341254484515,,
org.apache.pdfbox.pdmodel.font.PDType1Font.getEncodingFromFont(boolean),FreqExec,"org.apache.pdfbox.pdmodel.font.PDType1Font.getEncodingFromFont(boolean), org.apache.pdfbox.pdmodel.font.PDType1Font.determineEncoding()",0.1076626624206116,,
org.apache.pdfbox.examples.pdmodel.ExtractTTFFonts.extractFonts(String[]),,org.apache.pdfbox.examples.pdmodel.ExtractTTFFonts.extractFonts(String[]),0.10649451253951384,,
