method1,method2,method_score1,method_score2
"org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateShadingPattern(PreflightContext, PDResources)","org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateShadingPattern(PreflightContext, PDResources)",1.3137498819793109e-09,7.559763417154173e-08
"org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateExtGStates(PreflightContext, PDResources)","org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateExtGStates(PreflightContext, PDResources)",2.567078827890337e-10,7.587308879040082e-09
"org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateTilingPattern(PreflightContext, PDResources)","org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateTilingPattern(PreflightContext, PDResources)",7.135556001344885e-10,6.739468396972435e-08
"org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateFonts(PreflightContext, PDResources)","org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.validateFonts(PreflightContext, PDResources)",6.896958786368407e-08,4.1856557557000685e-05
"org.apache.pdfbox.preflight.process.reflect.SinglePageValidationProcess.validateColorSpaces(PreflightContext, PDPage)","org.apache.pdfbox.preflight.process.reflect.SinglePageValidationProcess.validateColorSpaces(PreflightContext, PDPage)",1.9243518630333566e-15,4.582157153708439e-07
org.apache.pdfbox.pdmodel.PDDocument.saveIncremental(String),org.apache.pdfbox.pdmodel.PDDocument.saveIncremental(OutputStream),2.736024536853278e-08,1.3438966186318514e-05
"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingPaint.createContext(ColorModel, Rectangle, Rectangle2D, AffineTransform, RenderingHints)","org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingPaint.createContext(ColorModel, Rectangle, Rectangle2D, AffineTransform, RenderingHints)",1.4228697931682039e-08,1.5167544363550443e-08
"org.apache.pdfbox.pdmodel.graphics.shading.AxialShadingContext.AxialShadingContext(PDShadingType2, ColorModel, AffineTransform, Matrix, int)","org.apache.pdfbox.pdmodel.graphics.shading.AxialShadingContext.AxialShadingContext(PDShadingType2, ColorModel, AffineTransform, Matrix, Rectangle)",3.1480727133913038e-15,1.0966570357014327e-10
"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.RadialShadingContext(PDShadingType3, ColorModel, AffineTransform, Matrix, int)","org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.RadialShadingContext(PDShadingType3, ColorModel, AffineTransform, Matrix, Rectangle)",3.415994103316841e-15,1.1632192019220793e-10
org.apache.pdfbox.pdmodel.common.function.PDFunctionType2.eval(float[]),org.apache.pdfbox.pdmodel.common.function.PDFunctionType2.eval(float[]),4.465789570231257e-08,5.6001757087607016e-08
org.apache.pdfbox.pdmodel.common.function.PDFunctionType2.PDFunctionType2(COSBase),org.apache.pdfbox.pdmodel.common.function.PDFunctionType2.PDFunctionType2(COSBase),6.9499588426637545e-09,1.7320361399166167e-08
org.apache.pdfbox.pdmodel.common.function.PDFunction.getCOSObject(),org.apache.pdfbox.pdmodel.common.function.PDFunction.getCOSObject(),1.8030835308633705e-10,2.5750997194822105e-09
org.apache.pdfbox.pdmodel.common.function.PDFunction.clipToRange(float[]),org.apache.pdfbox.pdmodel.common.function.PDFunction.clipToRange(float[]),1.4291704067289816e-07,1.991359236651047e-07
