method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.avro.thrift.test.Foo.ping_args.read(org.apache.thrift.protocol.TProtocol),11,3,1,1,1,1
org.apache.avro.ipc.HttpServer.addConnector(Connector),-1,1,0,0,0,0
org.apache.avro.Protocol.Message.getRequest(),0,447,14,87,0,0
org.apache.avro.reflect.ReflectDatumWriter.ReflectDatumWriter(Class),11,34,0,0,7,15
org.apache.avro.thrift.ThriftData.get(),0,36,7,8,0,0
org.apache.avro.io.JsonDecoder.readByteArray(),0,16,5,5,0,0
org.apache.avro.thrift.test.Error.Error(),11,2,1,1,0,0
"org.apache.avro.mapred.AvroKeyComparator.compare(byte[], int, int, byte[], int, int)",11,39,0,0,6,19
"org.apache.avro.io.JsonDecoder.readFixed(byte[], int, int)",11,14,0,0,5,4
"org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, String)",7,15,8,2,3,2
org.apache.avro.ipc.NettyTransportCodec.NettyFrameEncoder.getPackHeader(NettyDataPack),11,5,2,1,1,2
org.apache.avro.Schema.FixedSchema.equals(Object),11,4,0,0,2,2
org.apache.avro.io.EncoderFactory.DefaultEncoderFactory.configureBlockSize(int),11,2,0,0,1,1
"org.apache.avro.generic.GenericData.Record.put(int, Object)",0,204,14,39,0,0
org.apache.avro.file.DataFileReader.SeekableInputStream.seek(long),1,42,6,16,1,1
org.apache.avro.ipc.trace.TraceNode.getPreLinkTime(),1,12,2,5,1,1
"org.apache.avro.Schema.RecordSchema.fieldsToJson(Names, JsonGenerator)",11,37,6,10,2,7
"org.apache.avro.generic.GenericRecordBuilder.set(String, Object)",11,14,0,0,5,3
org.apache.avro.ipc.trace.TraceCollection.printBrief(),11,10,0,0,5,4
"org.apache.avro.generic.GenericData.createFixed(Object, byte[], Schema)",3,26,3,13,2,3
"org.apache.avro.tool.FromTextTool.run(InputStream, PrintStream, PrintStream, List)",11,36,0,0,5,13
org.apache.avro.file.SeekableFileInput.SeekableFileInput(File),0,70,8,24,0,0
"org.apache.avro.Schema.applyAliases(Schema, Schema)",6,117,12,21,5,18
"org.apache.avro.Protocol.Message.Message(String, String, Schema)",0,57,5,25,0,0
org.apache.avro.tool.DataFileWriteTool.readSchemaFromFile(String),11,42,6,16,0,0
org.apache.avro.mapred.AvroAsTextRecordReader.getProgress(),11,3,0,0,2,1
