sep=;
id; seed; size; upperDepth; upperWidth; lowerDepth; lowerWidth
218;org.apache.pdfbox.encoding.conversion.CJKConverter.convertBytes(byte[], int, int, CMap);1;0;0;0;0
219;org.apache.pdfbox.pdmodel.common.PDNamedTextStream.getSecondCOSObject();2;0;0;1;1
220;org.apache.pdfbox.preflight.content.StubOperator.checkNoOperands(List);20;4;7;3;2
221;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDMarkInfo.isMarked();281;7;81;6;2
222;org.apache.pdfbox.pdmodel.graphics.color.PDTristimulus.getZ();14;5;5;1;2
223;org.apache.pdfbox.pdmodel.graphics.pattern.PDPatternResources.setPaintType(int);6;0;0;3;2
224;org.apache.pdfbox.pdmodel.encryption.AccessPermission.setCanExtractForAccessibility(boolean);40;6;20;1;1
225;org.apache.pdfbox.util.ImageParameters.getNumberOrNegativeOne(COSName, COSName);8;1;3;3;2
226;org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent.setRegistryName(String);255;11;57;3;2
227;org.apache.pdfbox.examples.util.RemoveAllText.usage();181;9;63;0;0
228;org.apache.pdfbox.pdmodel.fdf.FDFOptionElement.setOption(String);3;0;0;1;2
229;org.apache.pdfbox.pdmodel.interactive.action.PDAnnotationAdditionalActions.getX();19;0;0;5;8
230;org.apache.pdfbox.cos.COSStream.getFilters();125;8;29;2;1
231;org.apache.pdfbox.encoding.SingleByteCharset.SingleByteCharset(String, String[], char[]);4;2;1;1;1
232;org.apache.pdfbox.preflight.PreflightContext.setIccProfileWrapper(ICCProfileWrapper);71;9;14;0;0
233;org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences.setReadingDirection(READING_DIRECTION);1;0;0;0;0
234;org.apache.pdfbox.pdfviewer.PageWrapper.displayPage(PDPage);47;7;3;6;14
235;org.apache.pdfbox.pdmodel.fdf.FDFDictionary.getID();55;9;11;2;1
236;org.apache.pdfbox.pdfviewer.PDFPagePanel.PDFPagePanel();9;1;1;4;3
237;org.apache.pdfbox.examples.util.PrintTextLocations.main(String[]);194;0;0;10;34
238;org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.calcColorTable();111;9;10;14;11
239;org.apache.pdfbox.filter.CCITTFaxDecodeFilter.encode(InputStream, OutputStream, COSDictionary, int);1;0;0;0;0
240;org.apache.pdfbox.pdmodel.common.COSArrayList.listIterator();1;0;0;0;0
241;org.apache.pdfbox.util.BitFlagHelper.getFlag(COSDictionary, COSName, int);51;3;39;5;2
242;org.apache.pdfbox.pdmodel.encryption.PDCryptFilterDictionary.setLength(int);6;0;0;3;2
243;org.apache.pdfbox.preflight.font.util.Type1Parser.isDupKeyWord(byte[]);19;5;6;0;0
244;org.apache.pdfbox.preflight.action.AbstractActionManager.innerValid();60;8;15;0;0
245;org.apache.pdfbox.pdfparser.BaseParser.readLong();82;7;21;2;3
246;org.apache.pdfbox.pdmodel.graphics.xobject.PDCcitt.TiffWrapper.read(byte[], int, int);1;0;0;0;0
247;org.apache.pdfbox.preflight.font.Type3FontValidator.getCharNameFromEncoding(int);28;5;10;1;2
248;org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateCreator.buildPDF(PDVisibleSignDesigner);104;2;4;7;52
249;org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.readPage();2;1;1;0;0
