class,path,package,methods
Pair,lang\java\mapred\src\main\java\org\apache\avro\mapred\Pair.java,org.apache.avro.mapred,"Pair,Pair,checkIsPairSchema,getKeySchema,getValueSchema,getPairSchema,makePairSchema,getSchema,key,key,value,value,set,equals,hashCode,compareTo,toString,get,put,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,Pair,getSchema"
HadoopReducerBase,lang\java\mapred\src\main\java\org\apache\avro\mapred\HadoopReducerBase.java,org.apache.avro.mapred,"getReducer,getCollector,configure,reduce,close"
AvroCollector,lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroCollector.java,org.apache.avro.mapred,collect
AvroReducer,lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroReducer.java,org.apache.avro.mapred,"reduce,close,configure"
AvroJob,lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroJob.java,org.apache.avro.mapred,"AvroJob,setInputSchema,getInputSchema,setMapOutputSchema,getMapOutputSchema,setOutputSchema,setOutputCodec,setOutputMeta,setOutputMeta,setOutputMeta,setInputSequenceFile,setReflect,setInputReflect,setMapOutputReflect,getOutputSchema,configureAvroInput,configureAvroOutput,configureAvroShuffle,setMapperClass,setCombinerClass,setReducerClass,setDataModelClass,getDataModelClass,newDataModelInstance,createDataModel,createInputDataModel,createMapOutputDataModel"
SeekableFileInput,lang\java\avro\src\main\java\org\apache\avro\file\SeekableFileInput.java,org.apache.avro.file,"SeekableFileInput,SeekableFileInput,seek,tell,length"
LegacyBinaryEncoder,lang\java\avro\src\test\java\org\apache\avro\io\LegacyBinaryEncoder.java,org.apache.avro.io,"LegacyBinaryEncoder,flush,writeNull,writeBoolean,writeInt,writeLong,writeFloat,writeDouble,writeString,writeString,encodeString,writeBytes,writeBytes,writeFixed,writeEnum,writeArrayStart,setItemCount,startItem,writeArrayEnd,writeMapStart,writeMapEnd,writeIndex,encodeLong,encodeFloat,encodeDouble"
TestSpecificData,lang\java\ipc\src\test\java\org\apache\avro\specific\TestSpecificData.java,org.apache.avro.specific,"testHashCode,testToString,testGetMapSchema,testSpecificWithinGeneric,testConvertGenericToSpecific,testGetClassSchema,testSpecificRecordToString,testExternalizeable,testReservedEnumSymbol"
FooBarSpecificRecord,lang\java\avro\src\test\java\org\apache\avro\FooBarSpecificRecord.java,org.apache.avro,"getClassSchema,FooBarSpecificRecord,FooBarSpecificRecord,getSchema,get,put,getId,setId,getName,setName,getNicknames,setNicknames,getRelatedids,setRelatedids,getTypeEnum,setTypeEnum,newBuilder,newBuilder,newBuilder,writeExternal,readExternal"
TypeEnum,lang\java\avro\src\test\java\org\apache\avro\TypeEnum.java,org.apache.avro,"getClassSchema,values,valueOf"
