method,LOC,Cyclomatic,FanIn,FanOut
"org.apache.avro.ipc.specific.SpecificResponder.getDatumReader(Schema, Schema)",3,1,2,3
"org.apache.avro.ipc.specific.SpecificResponder.writeError(Schema, Object, Encoder)",4,1,4,2
"org.apache.avro.ipc.specific.SpecificResponder.respond(Message, Object)",26,6,6,17
org.apache.avro.ipc.Responder.Responder(Protocol),8,1,4,8
org.apache.avro.ipc.Responder.getRemote(),1,1,1,2
org.apache.avro.ipc.Responder.getLocal(),1,1,2,1
org.apache.avro.ipc.Responder.addRPCPlugin(RPCPlugin),3,1,11,1
org.apache.avro.ipc.Responder.respond(List<ByteBuffer>),3,1,4,2
"org.apache.avro.ipc.Responder.respond(List<ByteBuffer>, Transceiver)",81,14,13,43
"org.apache.avro.ipc.Responder.handshake(Decoder, Encoder, Transceiver)",33,9,15,15
"org.apache.avro.ipc.Responder.respond(Message, Object)",2,1,1,1
"org.apache.avro.ipc.Responder.readRequest(Schema, Schema, Decoder)",2,1,1,1
"org.apache.avro.ipc.Responder.writeResponse(Schema, Object, Encoder)",2,1,1,0
"org.apache.avro.ipc.Responder.writeError(Schema, Object, Encoder)",2,1,1,0
org.apache.avro.ipc.Requestor.getLocal(),1,1,2,1
org.apache.avro.ipc.Requestor.getTransceiver(),1,1,8,1
"org.apache.avro.ipc.Requestor.Requestor(Protocol, Transceiver)",7,1,4,5
org.apache.avro.ipc.Requestor.addRPCPlugin(RPCPlugin),3,1,6,1
"org.apache.avro.ipc.Requestor.request(String, Object)",18,5,5,9
"org.apache.avro.ipc.Requestor.request(String, Object, Callback<T>)",4,1,5,2
"org.apache.avro.ipc.Requestor.request(Request, Callback<T>)",46,9,5,18
org.apache.avro.ipc.Requestor.writeHandshake(Encoder),25,5,14,12
org.apache.avro.ipc.Requestor.readHandshake(Decoder),32,7,11,11
org.apache.avro.ipc.Requestor.setRemote(HandshakeResponse),6,1,7,6
org.apache.avro.ipc.Requestor.getRemote(),25,4,7,18
"org.apache.avro.ipc.Requestor.writeRequest(Schema, Object, Encoder)",2,1,1,0
"org.apache.avro.ipc.Requestor.readResponse(Schema, Decoder)",3,1,2,2
"org.apache.avro.ipc.Requestor.readResponse(Schema, Schema, Decoder)",2,1,2,1
"org.apache.avro.ipc.Requestor.readError(Schema, Decoder)",3,1,2,2
"org.apache.avro.ipc.Requestor.readError(Schema, Schema, Decoder)",2,1,2,1
org.apache.avro.mapreduce.TestWordCount.testAvroGenericOutput(),30,2,4,31
org.apache.avro.mapreduce.TestWordCount.testAvroSpecificOutput(),30,2,5,30
org.apache.avro.mapreduce.TestWordCount.testAvroReflectOutput(),30,2,6,30
org.apache.avro.mapreduce.TestWordCount.testAvroInput(),31,2,5,31
org.apache.avro.mapreduce.TestWordCount.testReflectInput(),31,2,6,31
org.apache.avro.mapreduce.TestWordCount.testAvroMapOutput(),31,2,5,31
org.apache.avro.mapreduce.TestWordCount.testAvroUsingTextFileOutput(),33,1,5,33
"org.apache.avro.file.DataFileReader.openReader(File, DatumReader<D>)",4,1,5,3
"org.apache.avro.file.DataFileReader.openReader(SeekableInput, DatumReader<D>)",15,5,10,8
"org.apache.avro.file.DataFileReader.openReader(SeekableInput, DatumReader<D>, Header, boolean)",12,2,5,5
"org.apache.avro.file.DataFileReader.DataFileReader(File, DatumReader<D>)",3,1,37,3
"org.apache.avro.file.DataFileReader.DataFileReader(SeekableInput, DatumReader<D>)",7,1,35,6
"org.apache.avro.file.DataFileReader.DataFileReader(SeekableInput, DatumReader<D>, Header)",6,1,5,5
org.apache.avro.file.DataFileReader.seek(long),7,1,11,7
org.apache.avro.file.DataFileReader.sync(long),28,7,12,10
org.apache.avro.file.DataFileReader.blockFinished(),3,1,3,4
org.apache.avro.file.DataFileReader.previousSync(),3,1,7,1
org.apache.avro.file.DataFileReader.pastSync(long),3,1,7,2
org.apache.avro.file.DataFileReader.tell(),1,1,1,2
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(),3,1,39,3
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema),3,1,27,3
"org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema, Schema)",3,1,10,3
"org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema, Schema, GenericData)",5,1,14,4
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(GenericData),4,1,3,4
org.apache.avro.generic.GenericDatumReader.getData(),1,1,13,1
org.apache.avro.generic.GenericDatumReader.getSchema(),1,1,1,1
org.apache.avro.generic.GenericDatumReader.setSchema(Schema),7,2,5,3
org.apache.avro.generic.GenericDatumReader.getExpected(),1,1,2,1
org.apache.avro.generic.GenericDatumReader.setExpected(Schema),4,1,3,2
"org.apache.avro.generic.GenericDatumReader.getResolver(Schema, Schema)",23,5,6,10
"org.apache.avro.generic.GenericDatumReader.read(D, Decoder)",7,1,33,5
"org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder)",12,3,7,6
