method,method,invocation counts
"org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.<init>(Object[][], Map, String[])","org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.getTable(Object[][], String[])",2
"org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.<init>(Object[][], Map, String[])",org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.getHeaderPanel(Map),2
"org.apache.pdfbox.debugger.streampane.Stream.<init>(COSStream, boolean)",org.apache.pdfbox.debugger.streampane.Stream.createFilterList(COSStream),13
org.apache.pdfbox.debugger.streampane.Stream.createFilterList(COSStream),org.apache.pdfbox.pdmodel.common.PDStream.getFilters(),13
org.apache.pdfbox.pdmodel.common.PDStream.getFilters(),org.apache.pdfbox.cos.COSStream.getFilters(),11
org.apache.pdfbox.cos.COSStream.getFilters(),org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName),59
org.apache.pdfbox.debugger.streampane.Stream.createFilterList(COSStream),org.apache.pdfbox.pdmodel.common.PDStream.<init>(COSStream),13
"org.apache.pdfbox.debugger.streampane.Stream.<init>(COSStream, boolean)","org.apache.pdfbox.debugger.streampane.Stream.isImageStream(COSDictionary, boolean)",13
org.apache.pdfbox.cos.COSNull.<init>(),org.apache.pdfbox.cos.COSBase.<init>(),3
org.apache.pdfbox.debugger.hexviewer.HexPane.setSelected(int),org.apache.pdfbox.debugger.hexviewer.HexPane.putInSelected(int),12
org.apache.pdfbox.debugger.hexviewer.HexPane.putInSelected(int),org.apache.pdfbox.debugger.hexviewer.HexPane.getPointForIndex(int),12
org.apache.pdfbox.debugger.hexviewer.HexPane.getPointForIndex(int),org.apache.pdfbox.debugger.hexviewer.HexModel.elementIndexInLine(int),12
org.apache.pdfbox.debugger.hexviewer.HexPane.getPointForIndex(int),org.apache.pdfbox.debugger.hexviewer.HexModel.lineNumber(int),12
org.apache.pdfbox.debugger.hexviewer.HexPane.keyTyped(KeyEvent),org.apache.pdfbox.debugger.hexviewer.HexPane.isHexChar(char),10
"org.apache.pdfbox.debugger.streampane.StreamPane.<init>(COSStream, boolean, boolean, COSDictionary)","org.apache.pdfbox.debugger.streampane.Stream.<init>(COSStream, boolean)",1
org.apache.pdfbox.debugger.hexviewer.HexView.<init>(byte[]),org.apache.pdfbox.debugger.hexviewer.HexEditor.<init>(HexModel),1
org.apache.pdfbox.debugger.hexviewer.HexView.<init>(byte[]),org.apache.pdfbox.debugger.hexviewer.HexModel.<init>(byte[]),2
org.apache.pdfbox.debugger.ui.ZoomMenu.getInstance(),org.apache.pdfbox.debugger.ui.ZoomMenu.<init>(),2
org.apache.pdfbox.debugger.ui.ZoomMenu.<init>(),org.apache.pdfbox.debugger.ui.MenuBase.<init>(),1
org.apache.pdfbox.debugger.ui.Tree.getPopupLocation(MouseEvent),org.apache.pdfbox.debugger.ui.Tree.getPopupMenuItems(TreePath),4
org.apache.pdfbox.debugger.ui.Tree.getPopupMenuItems(TreePath),org.apache.pdfbox.debugger.ui.Tree.getTreePathMenuItem(TreePath),3
org.apache.pdfbox.debugger.streampane.Stream.getImage(PDResources),org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.createThumbnail(COSStream),1
org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.createThumbnail(COSStream),"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.<init>(PDStream, PDResources)",2
"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.<init>(PDStream, PDResources)",org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),4
org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),org.apache.pdfbox.cos.COSStream.createInputStream(),3
org.apache.pdfbox.cos.COSStream.createInputStream(),"org.apache.pdfbox.cos.COSInputStream.create(List, COSDictionary, InputStream, ScratchFile)",16
"org.apache.pdfbox.cos.COSInputStream.create(List, COSDictionary, InputStream, ScratchFile)","org.apache.pdfbox.cos.COSInputStream.<init>(InputStream, List)",16
org.apache.pdfbox.cos.COSStream.createInputStream(),org.apache.pdfbox.cos.COSStream.ensureRandomAccessExists(boolean),17
org.apache.pdfbox.cos.COSStream.ensureRandomAccessExists(boolean),org.apache.pdfbox.io.ScratchFile.createBuffer(),17
org.apache.pdfbox.io.ScratchFile.createBuffer(),org.apache.pdfbox.io.ScratchFileBuffer.<init>(ScratchFile),74
org.apache.pdfbox.io.ScratchFileBuffer.<init>(ScratchFile),org.apache.pdfbox.io.ScratchFileBuffer.addPage(),80
org.apache.pdfbox.io.ScratchFileBuffer.addPage(),org.apache.pdfbox.io.ScratchFile.getNewPage(),85
org.apache.pdfbox.io.ScratchFileBuffer.<init>(ScratchFile),org.apache.pdfbox.io.ScratchFile.checkClosed(),83
org.apache.pdfbox.cos.COSStream.createInputStream(),org.apache.pdfbox.io.RandomAccessInputStream.<init>(RandomAccessRead),17
org.apache.pdfbox.cos.COSStream.createInputStream(),org.apache.pdfbox.cos.COSStream.getFilterList(),17
org.apache.pdfbox.cos.COSStream.getFilterList(),org.apache.pdfbox.cos.COSStream.getFilters(),43
org.apache.pdfbox.cos.COSStream.createInputStream(),org.apache.pdfbox.cos.COSStream.checkClosed(),25
"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.<init>(PDStream, PDResources)","org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.<init>(PDStream, PDResources, COSInputStream)",2
"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.<init>(PDStream, PDResources, COSInputStream)","org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.repair(PDStream, COSInputStream)",2
"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.repair(PDStream, COSInputStream)",org.apache.pdfbox.cos.COSInputStream.getDecodeResult(),2
"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.repair(PDStream, COSInputStream)",org.apache.pdfbox.cos.COSDictionary.addAll(COSDictionary),2
org.apache.pdfbox.cos.COSDictionary.addAll(COSDictionary),org.apache.pdfbox.cos.COSDictionary.entrySet(),8
"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.<init>(PDStream, PDResources, COSInputStream)","org.apache.pdfbox.pdmodel.graphics.PDXObject.<init>(PDStream, COSName)",2
"org.apache.pdfbox.pdmodel.graphics.PDXObject.<init>(PDStream, COSName)","org.apache.pdfbox.cos.COSDictionary.setName(COSName, String)",4
"org.apache.pdfbox.cos.COSDictionary.setName(COSName, String)","org.apache.pdfbox.cos.COSDictionary.setItem(COSName, COSBase)",1344
"org.apache.pdfbox.cos.COSDictionary.setName(COSName, String)",org.apache.pdfbox.cos.COSName.getPDFName(String),1298
"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.<init>(PDStream, PDResources, COSInputStream)",org.apache.pdfbox.cos.COSInputStream.getDecodeResult(),2
org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.createThumbnail(COSStream),org.apache.pdfbox.pdmodel.common.PDStream.<init>(COSStream),2
org.apache.pdfbox.debugger.streampane.Stream.getImage(PDResources),org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getImage(),2
org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getImage(),"org.apache.pdfbox.pdmodel.graphics.image.SampledImageReader.getRGBImage(PDImage, COSArray)",2
"org.apache.pdfbox.pdmodel.graphics.image.SampledImageReader.getRGBImage(PDImage, COSArray)",org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.isEmpty(),2
