method,issue
"org.apache.ivy.plugins.resolver.BasicResolver.download(Artifact[], DownloadOptions)",
"org.apache.ivy.plugins.resolver.packager.PackagerResolver.findArtifactRef(Artifact, Date)",
"org.apache.ivy.core.resolve.IvyNode.addArtifactsFromMergedUsage(String, Set)",
"org.apache.ivy.core.search.SearchEngine.listModules(ModuleId, PatternMatcher)",
"org.apache.ivy.util.url.HttpClientHandler.getURLInfo(URL, int)",
"org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL, int)",
org.apache.ivy.core.settings.IvySettings.configureRepositories(boolean),
org.apache.ivy.plugins.repository.sftp.SFTPRepository.list(String),
"org.apache.ivy.plugins.resolver.IBiblioResolver.listTokenValues(String, String)",
"org.apache.ivy.core.settings.XmlSettingsParser.cachesStarted(String, Map)",IVY-1044
org.apache.ivy.core.settings.XmlSettingsParser.includeStarted(Map),MyIssue-9
"org.apache.ivy.core.report.ResolveReport.setDependencies(List, Filter)",
"org.apache.ivy.plugins.resolver.IBiblioResolver.listRevisionsWithMavenMetadata(Repository, String)",
"org.apache.ivy.util.extendable.UnmodifiableExtendableItem.UnmodifiableExtendableItem(Map, Map)",
org.apache.ivy.core.module.status.StatusManager.computeMaps(),
org.apache.ivy.util.url.BasicURLHandler.openStream(URL),
"org.apache.ivy.core.resolve.VisitNode.loadData(String, boolean)",
org.apache.ivy.plugins.repository.ssh.SshRepository.list(String),
org.apache.ivy.ant.IvyRetrieve.doExecute(),"IVY-1252, IVY-1044"
org.apache.ivy.core.resolve.VisitNode.gotoNode(IvyNode),
org.apache.ivy.plugins.parser.m2.PomReader.getLicenses(),
"org.apache.ivy.util.XMLHelper.parse(InputSource, URL, DefaultHandler, LexicalHandler)",
org.apache.ivy.util.cli.CommandLineParser.parse(String[]),
org.apache.ivy.core.repository.RepositoryManagementEngine.analyze(),
org.apache.ivy.core.settings.IvySettings.addResolver(DependencyResolver),
org.apache.ivy.core.resolve.IvyNodeEviction.cleanEvicted(),
org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File),
org.apache.ivy.plugins.resolver.IBiblioHelper.getIBiblioMirror(),
org.apache.ivy.ant.IvyListModules.doExecute(),
org.apache.ivy.core.resolve.IvyNodeEviction.getAllEvictingNodesDetails(),
org.apache.ivy.core.settings.XmlSettingsParser.doParse(URL),
"org.apache.ivy.Main.initSettings(CommandLine, Ivy)",
org.apache.ivy.core.resolve.ResolveData.mediate(DependencyDescriptor),
"org.apache.ivy.core.resolve.IvyNodeCallers.doesCallersExclude(String, Artifact, Stack)",
org.apache.ivy.ant.IvyMakePom.doExecute(),
"org.apache.ivy.util.Configurator.addChild(ObjectDescriptor, Class, String, Object)",
org.apache.ivy.ant.IvyTask.getIvyInstance(),
"org.apache.ivy.ant.IvyBuildList.processFilterNodeFromLeaf(ModuleDescriptor, Set, Map)",
org.apache.ivy.core.search.SearchEngine.listRevisionEntries(ModuleEntry),
org.apache.ivy.core.resolve.IvyNode.getRealConfs(String),
org.apache.ivy.core.report.ResolveReport.hasError(),
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.addSourcesAndJavadocArtifactsIfPresent(PomModuleDescriptorBuilder, ParserSettings)",IVY-1529
org.apache.ivy.core.settings.XmlSettingsParser.parse(URL),
"org.apache.ivy.util.FileUtil.copy(File, File, CopyProgressListener, boolean)",IVY-1252
org.apache.ivy.core.report.ConfigurationResolveReport.getModuleIds(),
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.DefaultDependencyDescriptor(DefaultDependencyDescriptor, ModuleRevisionId)",
"org.apache.ivy.util.CredentialsUtil.loadPassfile(Credentials, File)",
org.apache.ivy.core.search.SearchEngine.listModuleEntries(OrganisationEntry),
org.apache.ivy.core.repository.RepositoryManagementEngine.load(),
org.apache.ivy.plugins.resolver.FileSystemResolver.commitPublishTransaction(),
"org.apache.ivy.plugins.repository.ssh.SshRepository.get(String, File)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.update(InputStream, Resource, File, UpdateOptions)",
org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.getDependencyManagements(ModuleDescriptor),
org.apache.ivy.core.module.descriptor.Configuration.replaceWildcards(ModuleDescriptor),
"org.apache.ivy.plugins.report.XmlReportWriter.outputMetadataArtifact(PrintWriter, IvyNode)",
org.apache.ivy.ant.IvyCachePath.doExecute(),
"org.apache.ivy.core.search.SearchEngine.listRevisions(String, String)",
"org.apache.ivy.plugins.repository.vsftp.VsftpRepository.put(File, String, boolean)",
"org.apache.ivy.plugins.resolver.DualResolver.getDependency(DependencyDescriptor, ResolveData)",
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.newCallerInstance(ModuleRevisionId, String[], boolean, boolean)",
"org.apache.ivy.core.resolve.IvyNode.moveToRealNode(String, IvyNode, String, String, boolean, IvyNode)",
org.apache.ivy.plugins.repository.sftp.SFTPRepository.resolveResource(String),
org.apache.ivy.plugins.resolver.CacheResolver.ensureConfigured(),
org.apache.ivy.core.search.SearchEngine.listModules(String),
"org.apache.ivy.core.module.descriptor.Configuration.Configuration(String, Visibility, String, String[], boolean, String)",
"org.apache.ivy.plugins.resolver.BasicResolver.resolveAndCheckRevision(ModuleDescriptor, ModuleRevisionId, ResolvedResource, boolean)",
"org.apache.ivy.core.resolve.IvyNodeCallers.updateFrom(IvyNodeCallers, String, boolean)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.toIvyFile(InputStream, Resource, File, ModuleDescriptor)",
"org.apache.ivy.util.url.BasicURLHandler.upload(File, URL, CopyProgressListener)",
"org.apache.ivy.core.resolve.IvyNode.addRootModuleConfigurations(IvyNodeUsage, String, String[])",
"org.apache.ivy.core.search.SearchEngine.listModules(DependencyResolver, ModuleRevisionId, PatternMatcher)",
"org.apache.ivy.core.retrieve.RetrieveEngine.getConfs(ModuleRevisionId, RetrieveOptions)",
org.apache.ivy.ant.IvyAntVariableContainer.updateProject(String),
org.apache.ivy.ant.IvyCleanCache.doExecute(),
"org.apache.ivy.plugins.resolver.CacheResolver.download(Artifact[], DownloadOptions)",
org.apache.ivy.core.search.SearchEngine.listOrganisationEntries(),
"org.apache.ivy.util.url.BasicURLHandler.download(URL, File, CopyProgressListener)",
"org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptorsHelp(ModuleInSort, ModuleInSort)",
"org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean)",
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getResolvedRevision(ModuleRevisionId, CacheMetadataOptions)",
org.apache.ivy.plugins.trigger.LogTrigger.log(String),
org.apache.ivy.core.resolve.IvyNodeCallers.getAllRealCallers(),
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.newDefaultInstance(ModuleRevisionId, DependencyArtifactDescriptor[])",
"org.apache.ivy.plugins.resolver.BasicResolver.getArtifactRef(Artifact, Date)",
org.apache.ivy.ant.IvyBuildNumber.findLastNumber(String),
org.apache.ivy.plugins.resolver.util.FileURLLister.listAll(URL),
org.apache.ivy.core.search.SearchEngine.listOrganisations(),
org.apache.ivy.core.settings.IvySettings.load(File),
org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.getDependencyManagementMap(ModuleDescriptor),
org.apache.ivy.ant.IvyPostResolveTask.ensureResolved(IvySettings),
