method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.ivy.util.url.ApacheURLLister.retrieveListing(URL, boolean, boolean)",4,19,5,9,75,20,11,30,1,5426,7,49,0.8260869565217391,0.009379885356956748,0.13513513513513514,0.010752688172043012,0.41714285714285715,0.5428571428571428,0.03216374269005848,0.379746835443038,0.09090909090909091,0.023499146824193812,0.00106544901065449,2.1464584017703272e-06,0.14728649553579792
"org.apache.ivy.plugins.resolver.ChainResolver.getDependency(DependencyDescriptor, ResolveData)",22,232,11,46,60,13,17,35,2,84242,4,977,0.04347826086956519,0.12037519541427827,0.2972972972972973,0.054958183990442055,0.3314285714285714,0.34285714285714286,0.049707602339181284,0.4430379746835443,0.18181818181818182,0.36483876276515576,0.0006088280060882801,4.364465416932999e-05,0.14274466786295945
"org.apache.ivy.plugins.repository.vsftp.VsftpRepository.readResponse(boolean, long)",5,41,10,15,100,10,5,18,4,200,0,5,0.782608695652174,0.020844189682126108,0.2702702702702703,0.017921146953405017,0.56,0.2571428571428571,0.014619883040935672,0.22784810126582278,0.36363636363636365,0.0008661683311534763,1e-13,1.7887153348086062e-07,0.14236412646642957
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.download(Artifact, ArtifactResourceResolver, ResourceDownloader, CacheDownloadOptions)",22,413,25,81,83,12,10,40,0,45035,72,2163,0.04347826086956519,0.2146951537258989,0.6756756756756757,0.0967741935483871,0.46285714285714286,0.3142857142857143,0.029239766081871343,0.5063291139240507,1e-13,0.19503945396748404,0.010958904109589041,9.668006384640516e-05,0.1401214380893756
"org.apache.ivy.core.IvyPatternHelper.substitute(String, String, String, String, String, String, String, String, String, ArtifactOrigin, Map, Map)",1,77,6,42,44,18,29,15,2,32406,1675,110081,0.9565217391304348,0.039603960396039604,0.16216216216216217,0.05017921146953405,0.24,0.4857142857142857,0.0847953216374269,0.189873417721519,0.18181818181818182,0.1403452546967978,0.2549467275494673,0.004922544601393284,0.13837204060143185
"org.apache.ivy.osgi.obr.xml.RequirementAdapter.parseCompareFilter(CompareFilter, boolean)",22,9,3,7,88,24,15,13,0,90,63,136776,0.04347826086956519,0.004168837936425221,0.08108108108108109,0.008363201911589008,0.49142857142857144,0.6571428571428571,0.043859649122807015,0.16455696202531644,1e-13,0.00038977574901906436,0.009589041095890411,0.006116288497961178,0.13579074148161724
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.addDependency(Resource, PomDependencyData)",22,399,24,106,56,14,8,37,2,279,4,239,0.04347826086956519,0.20739968733715478,0.6486486486486487,0.12664277180406214,0.30857142857142855,0.37142857142857144,0.023391812865497075,0.46835443037974683,0.18181818181818182,0.0012083048219590996,0.0006088280060882801,1.0642856242111206e-05,0.13543459281550918
org.apache.ivy.osgi.core.BundleInfo.equals(Object),2,35,7,11,75,30,13,5,0,4,0,124,0.9130434782608696,0.01771756122980719,0.1891891891891892,0.013142174432497013,0.41714285714285715,0.8285714285714286,0.038011695906432746,0.06329113924050633,1e-13,1.7323366623069526e-05,1e-13,5.5002996545364636e-06,0.1347027896412568
"org.apache.ivy.ant.IvyInfo.setProperties(ModuleDescriptor, ModuleRevisionId)",22,249,18,64,53,9,6,35,4,6,0,8,0.04347826086956519,0.12923397602918185,0.4864864864864865,0.07646356033452807,0.2914285714285714,0.22857142857142856,0.017543859649122806,0.4430379746835443,0.36363636363636365,2.5985049934604292e-05,1e-13,3.1302518359150607e-07,0.13442262590115608
"org.apache.ivy.ant.IvyReport.genStyled(String[], File, String)",22,85,14,26,68,14,13,29,2,3773,0,11,0.04347826086956519,0.04377279833246483,0.3783783783783784,0.03106332138590203,0.37714285714285717,0.37142857142857144,0.038011695906432746,0.3670886075949367,0.18181818181818182,0.01634026556721033,1e-13,4.471788337021515e-07,0.1338871711264879
