class path,method name,method arguments,Time,OwnTime,count
src\java\org\apache\ivy\plugins\resolver\CacheResolver.java,listRevisions,ModuleEntry,0,0,4
test\java\org\apache\ivy\ant\IvyCleanCacheTest.java,testResolutionOnly,,2,0,1
src\java\org\apache\ivy\plugins\repository\vsftp\VsftpRepository.java,getExpectedUploadMessage,"File, String",0,0,5
test\java\org\apache\ivy\plugins\resolver\FileSystemResolverTest.java,testChanging,,26,0,1
src\java\org\apache\ivy\plugins\resolver\packager\BuiltFileResource.java,openStream,,0,0,1
test\java\org\apache\ivy\plugins\latest\LatestRevisionStrategyTest.java,testComparator,,36,0,1
test\java\org\apache\ivy\ant\IvyResolveTest.java,testIVY779,,291,0,1
test\java\org\apache\ivy\ant\IvyBuildListTest.java,testWithRoot,,250,0,1
test\java\org\apache\ivy\plugins\resolver\IvyRepResolverTest.java,testDefaults,,0,0,1
src\java\org\apache\ivy\util\MessageLoggerEngine.java,progress,,39,1,949
test\java\org\apache\ivy\plugins\version\MockVersionMatcher.java,<init>,,0,0,4
src\java\org\apache\ivy\core\event\resolve\StartResolveDependencyEvent.java,<init>,"DependencyResolver, DependencyDescriptor, ModuleRevisionId",171,0,789
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getExcludeRules,String,15,2,1680
src\java\org\apache\ivy\plugins\matcher\AbstractPatternMatcher.java,toString,,0,0,8
src\java\org\apache\ivy\core\module\descriptor\DefaultArtifact.java,<init>,"ModuleRevisionId, Date, String, String, String, Map",1,0,63
src\java\org\apache\ivy\core\cache\DefaultResolutionCacheManager.java,getConfigurationResolveReportInCache,"String, String",58,5,879
src\java\org\apache\ivy\util\url\AbstractURLHandler.java,getLastModified,"URL, int",8,0,7
test\java\org\apache\ivy\plugins\parser\m2\PomModuleDescriptorParserTest.java,testWithVersionPropertyAndPropertiesTag,,17,0,1
src\java\org\apache\ivy\ant\IvyTask.java,getSettings,,103,0,45
src\java\org\apache\ivy\core\deliver\DeliverEngine.java,<init>,DeliverEngineSettings,0,0,1543
src\java\org\apache\ivy\plugins\resolver\AbstractResolver.java,listTokenValues,"String[], Map",0,0,8
src\java\org\apache\ivy\plugins\repository\TransferEvent.java,<init>,"Repository, Resource, Exception, int",161,0,4
src\java\org\apache\ivy\util\url\ApacheURLLister.java,listDirectories,URL,1,0,7
test\java\org\apache\ivy\plugins\conflict\LatestConflictManagerTest.java,testLatestTime2,,159,0,1
src\java\org\apache\ivy\core\module\descriptor\AbstractIncludeExcludeRule.java,initStandardAttributes,,0,0,97
src\java\org\apache\ivy\ant\IvyReport.java,genxml,String[],79,0,2
src\java\org\apache\ivy\core\module\id\ArtifactRevisionId.java,<init>,"ArtifactId, ModuleRevisionId, Map",3620,657,95316
src\java\org\apache\ivy\plugins\repository\ssh\AbstractSshBasedRepository.java,parseURI,String,20,0,92
src\java\org\apache\ivy\core\resolve\IvyNode.java,getDependencyDescriptor,IvyNode,46,11,10956
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testResolveModeDynamicWithBranch1,,186,0,1
test\java\org\apache\ivy\plugins\matcher\RegexpPatternMatcherTest.java,testImplementation,,0,0,1
test\java\org\apache\ivy\plugins\parser\m2\PomModuleDescriptorParserTest.java,testParent,,19,0,1
test\java\org\apache\ivy\plugins\matcher\RegexpPatternMatcherTest.java,<init>,,0,0,7
test\java\org\apache\ivy\ant\IvyReportTest.java,setUp,,3,0,6
src\java\org\apache\ivy\plugins\repository\vsftp\VsftpRepository.java,ensureConnectionOpened,,8,0,27
src\java\org\apache\ivy\plugins\namespace\NameSpaceHelper.java,toSystem,"ResolvedModuleRevision, Namespace",0,0,5
