class path,method name,method arguments,Time,OwnTime,count
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectionUtil.java,resetFieldAccess,,84,0,12
lang\java\avro\src\main\java\org\apache\avro\file\DeflateCodec.java,compress,ByteBuffer,44,1,761
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,configure,"byte[], int, int",51,9,14662
lang\java\avro\src\test\java\org\apache\avro\data\TestTimeConversions.java,testLossyTimeMicrosConversion,,35,0,1
lang\java\avro\src\test\java\org\apache\avro\TestSchema.java,testSplitSchemaBuild,,35,0,1
lang\java\avro\src\main\java\org\apache\avro\Schema.java,getRequiredText,"JsonNode, String, String",39,5,24668
lang\java\avro\src\test\java\org\apache\avro\TestDataFileReflect.java,write,"DataFileWriter, Object, TestDataFileReflect$CheckList",33,0,9
lang\java\avro\src\test\java\org\apache\avro\util\CaseFinder.java,find,"BufferedReader, String, List",33,0,23
lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,setByteLength,int,36,35,297877
lang\java\avro\src\test\java\org\apache\avro\data\TestTimeConversions.java,testDateConversion,,33,0,1
lang\java\avro\src\main\java\org\apache\avro\SchemaBuilder.java,toJsonNode,Object,32,0,149
lang\java\avro\src\main\java\org\apache\avro\io\ResolvingDecoder.java,drain,,46,33,130493
lang\java\avro\src\main\java\org\apache\avro\generic\GenericData.java,setField,"Object, String, int, Object",48,42,405042
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflect.java,check,"Type, String",31,0,34
lang\java\avro\src\main\java\org\apache\avro\generic\GenericData.java,getField,"Object, String, int",43,39,352139
lang\java\avro\src\main\java\org\apache\avro\io\DecoderFactory.java,binaryDecoder,"byte[], BinaryDecoder",63,3,10552
lang\java\avro\src\main\java\org\apache\avro\generic\GenericRecordBuilder.java,build,,31,0,25
lang\java\avro\src\main\java\org\apache\avro\generic\GenericRecordBuilder.java,getWithDefault,Schema$Field,31,0,67
lang\java\avro\src\main\java\org\apache\avro\data\RecordBuilderBase.java,defaultValue,Schema$Field,39,0,52
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflect.java,testPrimitiveArrays,boolean,30,0,2
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflect.java,testPrimitiveArray,"Class, boolean",30,1,16
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,generateSync,,284,1,214
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,readArray,"Object, Schema, ResolvingDecoder",110,9,3885
lang\java\avro\src\main\java\org\apache\avro\io\JsonDecoder.java,advance,Symbol,66,6,13290
lang\java\avro\src\main\java\org\apache\avro\generic\GenericData.java,getDefaultValue,Schema$Field,41,0,154
lang\java\avro\src\main\java\org\apache\avro\io\ResolvingDecoder.java,doAction,"Symbol, Symbol",189,20,134868
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflect.java,checkBinary,"ReflectData, Schema, Object, boolean, boolean",29,0,25
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingEncoder.java,flush,,31,3,10060
lang\java\avro\src\test\java\org\apache\avro\io\TestBlockingIO.java,serialize,"Encoder, JsonParser, ByteArrayOutputStream",28,2,376
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,writeLong,long,44,16,45165
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflectLogicalTypes.java,read,"DatumReader, File",28,0,16
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,create,"Schema, OutputStream",232,0,63
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,configure,"OutputStream, int",116,22,29150
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,getSymbol,Schema,104,1,1692
lang\java\avro\src\test\java\org\apache\avro\util\CaseFinder.java,processHereDoc,"BufferedReader, String",25,0,410
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,test12,,25,0,9
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectionUtil.java,load,"String, Class",65,0,8
lang\java\avro\src\main\java\org\apache\avro\Schema.java,parse,String,791,0,576
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,readFile,"File, DatumReader",25,0,9
lang\java\avro\src\main\java\org\apache\avro\Schema.java,computeHash,,35,6,15749
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflectLogicalTypes.java,write,"GenericData, Schema, Object[]",24,0,14
lang\java\avro\src\main\java\org\apache\avro\io\parsing\Symbol.java,seq,Symbol[],34,11,33685
lang\java\avro\src\test\java\org\apache\avro\TestLogicalType.java,testFixedDecimalToFromJson,,24,0,1
lang\java\avro\src\main\java\org\apache\avro\io\EncoderFactory.java,binaryEncoder,"OutputStream, BinaryEncoder",190,13,24851
lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,setLength,int,24,16,63412
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,writeInt,int,160,66,193025
lang\java\avro\src\test\java\org\apache\avro\io\TestBinaryDecoder.java,generateData,,22,0,1
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,configureSource,"int, BinaryDecoder$ByteSource",128,9,28177
lang\java\avro\src\main\java\org\apache\avro\io\JsonDecoder.java,doAction,"Symbol, Symbol",48,5,7487
lang\java\avro\src\test\java\org\apache\avro\io\TestBlockingIO.java,testScan,,21,0,94
lang\java\avro\src\main\java\org\apache\avro\specific\SpecificData.java,newRecord,"Object, Schema",159,6,12676
lang\java\avro\src\main\java\org\apache\avro\specific\SpecificData.java,getClass,Schema,130,20,28367
lang\java\avro\src\test\java\org\apache\avro\data\TestTimeConversions.java,testTimestampMillisConversion,,21,0,1
lang\java\avro\src\main\java\org\apache\avro\io\parsing\Symbol.java,flattenedSize,"Symbol[], int",28,20,113766
lang\java\avro\src\test\java\org\apache\avro\TestCircularReferences.java,write,"GenericData, Schema, Object[]",20,0,1
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,writeFixed,"byte[], int, int",67,40,185481
lang\java\avro\src\test\java\org\apache\avro\io\TestBlockingIO.java,testSkip1,,20,0,94
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectData.java,getClass,Schema,28,0,139
lang\java\avro\src\test\java\org\apache\avro\generic\TestGenericRecordBuilder.java,testGenericBuilder,,20,0,1
lang\java\avro\src\main\java\org\apache\avro\JsonProperties.java,getProp,String,78,18,45898
lang\java\avro\src\test\java\org\apache\avro\io\TestBlockingIO.java,testSkip3,,19,0,94
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,testReadWithHeader,,19,0,9
lang\java\avro\src\test\java\org\apache\avro\TestProtocol.java,testSplitProtocolBuild,,19,0,1
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectData.java,newRecord,"Object, Schema",33,0,111
lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,nextRawBlock,DataFileStream$DataBlock,19,7,4779
lang\java\avro\src\main\java\org\apache\avro\io\ResolvingDecoder.java,readIndex,,193,6,19883
lang\java\avro\src\main\java\org\apache\avro\file\DataFileReader.java,pastSync,long,18,0,1891
lang\java\avro\src\main\java\org\apache\avro\io\parsing\Parser.java,pushProduction,Symbol,35,28,223835
lang\java\avro\src\main\java\org\apache\avro\file\SeekableFileInput.java,length,,20,0,1860
lang\java\avro\src\main\java\org\apache\avro\io\parsing\Symbol.java,repeat,"Symbol, Symbol[]",24,5,15647
lang\java\avro\src\test\java\org\apache\avro\TestSchemaCompatibility.java,testReaderWriterIncompatibility,,18,0,1
lang\java\avro\src\test\java\org\apache\avro\io\TestBlockingIO.java,testSkip2,,18,0,94
lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,hasNextBlock,,18,4,9701
lang\java\avro\src\test\java\org\apache\avro\io\parsing\TestResolvingGrammarGenerator.java,testRecordMissingRequiredFieldError,,18,0,16
lang\java\avro\src\test\java\org\apache\avro\reflect\TestNonStringMapKeys.java,testNonStringMapKeysInNestedMaps,,17,0,1
lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,getBytesFor,String,47,1,7788
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,skip,"TestValidatingIO$InputScanner, Decoder, boolean",17,2,1125
lang\java\avro\src\main\java\org\apache\avro\SchemaCompatibility.java,checkReaderWriterCompatibility,"Schema, Schema",17,0,85
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflect.java,testPrimitiveArrayBlocking,,17,0,1
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,flushBuffer,,122,12,51205
lang\java\avro\src\main\java\org\apache\avro\util\ClassUtils.java,forName,"ClassLoader, String",29,0,284
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingEncoder.java,writeInt,int,16,3,4544
lang\java\avro\src\main\java\org\apache\avro\io\ResolvingDecoder.java,readDouble,,20,2,4150
lang\java\avro\src\main\java\org\apache\avro\io\BlockingBinaryEncoder.java,check,,22,11,30575
lang\java\avro\src\main\java\org\apache\avro\util\ClassUtils.java,forName,"String, ClassLoader",28,0,324
lang\java\avro\src\main\java\org\apache\avro\util\internal\JacksonUtils.java,toJsonNode,Object,537,4,2226
lang\java\avro\src\main\java\org\apache\avro\io\DecoderFactory.java,binaryDecoder,"InputStream, BinaryDecoder",323,0,13515
lang\java\avro\src\main\java\org\apache\avro\io\BlockingBinaryEncoder.java,endBlockedValue,,17,3,2869
lang\java\avro\src\main\java\org\apache\avro\io\BlockingBinaryEncoder.java,flush,,19,5,6365
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectData.java,createFieldSchema,"Field, Map",16,0,142
lang\java\avro\src\main\java\org\apache\avro\SchemaBuilder.java,record,String,23,0,169
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflect.java,testAvroEncodeInducing,,15,0,1
lang\java\avro\src\main\java\org\apache\avro\io\JsonDecoder.java,readInt,,17,1,1540
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflect.java,testR10,,14,0,1
lang\java\avro\src\main\java\org\apache\avro\io\JsonDecoder.java,readIndex,,38,4,1518
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,doReadItemCount,,227,7,32791
lang\java\avro\src\test\java\org\apache\avro\reflect\TestByteBuffer.java,writeOneXAsAvro,"Schema, ByteArrayOutputStream",14,0,1
lang\java\avro\src\main\java\org\apache\avro\JsonProperties.java,getJsonProp,String,90,18,77855
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,readBoolean,,14,4,9207
lang\java\avro\src\main\java\org\apache\avro\file\DataFileReader12.java,next,,14,0,918
lang\java\avro\src\main\java\org\apache\avro\specific\SpecificDatumWriter.java,writeField,"Object, Schema$Field, Encoder, Object",245,16,25464
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,ensureBounds,int,45,45,424384
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,readFixed,"byte[], int, int",33,4,17047
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectDatumWriter.java,writeField,"Object, Schema$Field, Encoder, Object",38,0,177
lang\java\avro\src\main\java\org\apache\avro\file\DataFileReader12.java,next,Object,14,0,909
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflectionUtil.java,testUnsafeWhenNotExists,,14,0,1
lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,compareTo,Utf8,19,9,39536
lang\java\avro\src\test\java\org\apache\avro\reflect\TestNonStringMapKeys.java,testNonStringMapKeys,,13,0,1
lang\java\avro\src\main\java\org\apache\avro\Protocol.java,parse,String,1032,0,64
lang\java\avro\src\main\java\org\apache\avro\SchemaBuilder.java,builder,,18,0,214
