method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.avro.Schema.Field.Order.Order(),-1,1,0,0,0,0
org.apache.avro.ipc.HttpTransceiver.HttpTransceiver(URL),1,236,11,59,0,0
org.apache.avro.tool.Main.printStream(InputStream),9,5,2,3,0,0
org.apache.avro.specific.SpecificDatumWriter.SpecificDatumWriter(Schema),2,7,1,2,2,2
org.apache.avro.ipc.stats.StatsServlet.StatsServlet(StatsPlugin),-1,1,0,0,0,0
org.apache.avro.ipc.RPCContext.responseHandshakeMeta(),0,188,9,61,0,0
org.apache.avro.Schema.NamedSchema.hashCode(),2,7,1,3,1,3
org.apache.avro.ipc.stats.Histogram.Segmenter.size(),0,3,1,2,0,0
"org.apache.avro.generic.GenericResponder.writeError(Schema, AvroRemoteException, Encoder)",9,67,0,0,6,27
org.apache.avro.Schema.MapSchema.MapSchema(Schema),1,41,4,20,1,1
org.apache.avro.ipc.stats.Histogram.SegmenterException.SegmenterException(String),9,2,1,1,0,0
"org.apache.avro.reflect.ReflectDatumWriter.write(Schema, Object, Encoder)",9,60,0,0,5,27
"org.apache.avro.io.DirectBinaryDecoder.ByteReader.read(ByteBuffer, int)",0,7,3,2,0,0
"org.apache.avro.io.BinaryEncoder.encodeFloat(float, byte[], int)",9,7,4,2,0,0
"org.apache.avro.tool.JsonToBinaryFragmentTool.run(InputStream, PrintStream, PrintStream, List)",9,173,0,0,9,59
"org.apache.avro.tool.RpcSendTool.run(InputStream, PrintStream, PrintStream, List)",9,331,0,0,9,76
"org.apache.avro.reflect.ReflectData.getSchema(Type, Map)",5,48,3,3,5,18
"org.apache.avro.io.BinaryDecoder.InputStreamByteSource.readRaw(byte[], int, int)",-1,1,0,0,0,0
"org.apache.avro.io.BinaryEncoder.encodeFloat(float, OutputStream)",9,2,1,1,0,0
org.apache.avro.ipc.stats.StatsPluginOverhead.main(String[]),9,236,0,0,11,59
"org.apache.avro.generic.GenericData.Record.put(String, Object)",9,4,0,0,2,2
org.apache.avro.ipc.stats.StatsServlet.writeStats(Writer),9,14,1,1,3,9
org.apache.avro.file.DataFileWriter.appendTo(File),9,102,0,0,7,28
org.apache.avro.file.DataFileReader.SeekableInputStream.read(byte[]),9,2,0,0,1,1
org.apache.avro.specific.SpecificDatumWriter.SpecificDatumWriter(SpecificData),9,3,1,1,1,1
org.apache.avro.ipc.ByteBufferInputStream.getBuffer(),0,4,1,3,0,0
org.apache.avro.io.Decoder.readIndex(),0,52,7,29,0,0
org.apache.avro.ipc.RPCContext.responseCallMeta(),0,212,10,59,0,0
"org.apache.avro.Schema.getRequiredText(JsonNode, String, String)",4,40,4,18,2,2
org.apache.avro.io.BinaryDecoder.readDouble(),9,6,0,0,3,3
org.apache.avro.FooRecord.FooRecord(int),-1,1,0,0,0,0
"org.apache.avro.io.Encoder.writeBytes(byte[], int, int)",0,9,4,3,0,0
org.apache.avro.specific.SpecificCompiler.SpecificCompiler(Protocol),4,43,5,25,3,6
org.apache.avro.Schema.Field.hashCode(),9,3,0,0,2,1
org.apache.avro.AvroTypeException.AvroTypeException(String),1,166,7,71,1,1
org.apache.avro.ipc.SocketServer.getPort(),-1,1,0,0,0,0
org.apache.avro.Schema.getElementType(),1,192,5,84,1,1
org.apache.avro.io.ValidatingDecoder.arrayNext(),5,70,5,29,3,3
org.apache.avro.io.ValidatingEncoder.writeLong(long),9,8,0,0,3,3
org.apache.avro.io.Decoder.readFixed(byte[]),1,94,6,30,1,1
org.apache.avro.specific.SpecificCompiler.unbox(Schema),2,36,3,23,3,5
org.apache.avro.Schema.Type.Type(),-1,1,0,0,0,0
org.apache.avro.io.parsing.SkipParser.skipRepeater(),3,14,4,3,2,3
org.apache.avro.file.DataFileWriter.generateSync(),9,25,5,8,0,0
"org.apache.avro.io.parsing.Symbol.repeat(Symbol, Symbol...)",3,61,6,20,2,2
org.apache.avro.Protocol.Message.getErrors(),0,249,10,55,0,0
org.apache.avro.io.BinaryData.Decoders.Decoders(),9,12,1,1,5,3
org.apache.avro.generic.GenericData.toString(Object),2,13,2,2,3,6
org.apache.avro.generic.GenericDatumWriter.setSchema(Schema),0,6,3,2,0,0
org.apache.avro.ipc.SocketServer.close(),-1,1,0,0,0,0
org.apache.avro.file.DataFileWriter.setCodec(CodecFactory),9,28,5,8,2,4
org.apache.avro.Protocol.Message.getName(),0,351,10,65,0,0
"org.apache.avro.io.parsing.Parser.ActionHandler.doAction(Symbol, Symbol)",0,8,3,3,0,0
org.apache.avro.Schema.EnumSchema.equals(Object),9,3,0,0,2,1
"org.apache.avro.ipc.ByteBufferOutputStream.write(byte[], int, int)",9,2,1,1,0,0
org.apache.avro.file.Codec.toString(),9,4,2,1,1,1
org.apache.avro.file.SeekableFileInput.SeekableFileInput(File),7,91,8,29,0,0
org.apache.avro.file.DataFileStream.skipSync(),3,17,6,4,2,1
"org.apache.avro.reflect.ReflectData.findField(Class, String)",1,3,1,1,1,1
"org.apache.avro.io.BinaryDecoder.configureSource(int, ByteSource)",1,10,3,2,2,2
org.apache.avro.SchemaParseException.SchemaParseException(Throwable),9,2,0,0,1,1
org.apache.avro.io.DirectBinaryDecoder.DirectBinaryDecoder(InputStream),3,14,5,3,1,2
org.apache.avro.ipc.Responder.Responder(Protocol),6,25,1,2,9,9
org.apache.avro.io.BinaryDecoder.ByteArrayByteSource.isEof(),9,3,0,0,1,2
"org.apache.avro.file.DataFileWriter.setMeta(String, long)",-1,1,0,0,0,0
org.apache.avro.io.ValidatingDecoder.readEnum(),9,9,0,0,3,4
org.apache.avro.io.BinaryDecoder.skipMap(),9,11,0,0,5,3
org.apache.avro.Schema.parseJson(String),5,43,5,21,0,0
org.apache.avro.reflect.ReflectDatumWriter.ReflectDatumWriter(ReflectData),9,5,2,1,2,1
org.apache.avro.io.BinaryEncoder.setItemCount(long),9,3,0,0,2,1
"org.apache.avro.ipc.ByteBufferInputStream.read(byte[], int, int)",9,3,1,1,1,1
org.apache.avro.specific.ProtocolTask.compile(File),9,46,1,1,6,31
org.apache.avro.ipc.DatagramTransceiver.DatagramTransceiver(DatagramChannel),9,2,1,1,0,0
org.apache.avro.io.BinaryDecoder.InputStreamByteSource.read(),9,5,0,0,1,4
"org.apache.avro.io.BlockingBinaryEncoder.writeBytes(byte[], int, int)",9,12,2,2,3,4
"org.apache.avro.specific.SchemaTask.doCompile(File, File)",9,81,0,0,6,52
"org.apache.avro.reflect.ReflectDatumReader.readBytes(Object, Decoder)",9,2,0,0,1,1
org.apache.avro.file.DataFileWriter.writeBlock(),2,41,6,11,1,5
org.apache.avro.ipc.Transceiver.readBuffers(),0,212,11,59,0,0
"org.apache.avro.Schema.Field.Field(String, Schema, String, JsonNode, Order)",4,41,4,20,0,0
org.apache.avro.generic.GenericData.getRecordSchema(Object),2,13,2,10,1,1
"org.apache.avro.reflect.ReflectDatumReader.readString(Object, Decoder)",9,6,3,1,2,1
org.apache.avro.Schema.BooleanSchema.BooleanSchema(),1,11,2,8,1,1
org.apache.avro.io.BinaryDecoder.BufferAccessor.getPos(),0,39,4,21,0,0
org.apache.avro.io.ValidatingDecoder.skipBytes(),9,8,0,0,3,3
"org.apache.avro.Schema.UnionSchema.addProp(String, String)",9,2,0,0,1,1
org.apache.avro.io.BlockingBinaryEncoder.finishOverflow(),1,11,2,6,2,1
org.apache.avro.io.BinaryDecoder.readBytes(ByteBuffer),5,86,6,27,4,3
org.apache.avro.io.Encoder.writeMapStart(),0,89,6,37,0,0
org.apache.avro.io.BinaryDecoder.ByteSource.isEof(),3,3,2,1,0,0
"org.apache.avro.ipc.DatagramServer.DatagramServer(Responder, SocketAddress)",9,3,1,1,1,1
"org.apache.avro.Schema.UnionSchema.toJson(Names, JsonGenerator)",9,4,0,0,2,2
org.apache.avro.util.Utf8.getLength(),0,16,4,6,0,0
