method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
org.apache.avro.file.DataFileStream.hasNext(),8,33,7,10,25,7,9,16,0,10968,580,1001776,0.19999999999999996,0.08839779005524862,0.3684210526315789,0.1,0.24489795918367346,0.15789473684210525,0.12857142857142856,0.38095238095238093,1e-13,0.03962370485975636,0.003709981769917165,0.0013597953376859363,0.11544893274778943
org.apache.avro.io.BlockingBinaryEncoder.compact(),1,11,4,6,34,7,15,9,2,2,1,296,0.9,0.027624309392265192,0.21052631578947367,0.06,0.336734693877551,0.15789473684210525,0.21428571428571427,0.21428571428571427,0.5,7.225329113741131e-06,6.396520292960629e-06,4.004288633848431e-07,0.11540080744478043
"org.apache.avro.file.DataFileWriter.create(Schema, OutputStream)",9,25,4,9,20,2,15,20,1,111,0,30,0.09999999999999998,0.06629834254143646,0.21052631578947367,0.09,0.19387755102040816,0.02631578947368421,0.21428571428571427,0.47619047619047616,0.25,0.0004010057658126328,1e-13,3.936419334969644e-08,0.11384149211111189
org.apache.avro.specific.SpecificCompiler.compileInterface(Protocol),2,39,6,23,23,2,3,25,1,0,0,1,0.8,0.10497237569060773,0.3157894736842105,0.23,0.22448979591836735,0.02631578947368421,0.04285714285714286,0.5952380952380952,0.25,1e-13,1e-13,1e-13,0.11111260293592935
"org.apache.avro.file.DataFileWriter.appendAllFrom(DataFileStream<D>, boolean)",9,37,5,14,26,5,7,17,2,4,0,7,0.09999999999999998,0.09944751381215469,0.2631578947368421,0.14,0.25510204081632654,0.10526315789473684,0.1,0.40476190476190477,0.5,1.4450658227482262e-05,1e-13,8.144315865454436e-09,0.10814125097381577
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.bestBranch(Schema, Schema)",4,60,8,23,34,12,8,5,2,17,7,4333,0.6,0.16298342541436464,0.42105263157894735,0.23,0.336734693877551,0.2894736842105263,0.11428571428571428,0.11904761904761904,0.5,6.141529746679961e-05,4.4775642050724406e-05,5.880196054858102e-06,0.10744931695378666
org.apache.avro.file.DeflateCodec.decompress(ByteBuffer),9,3,1,2,27,6,4,16,1,5994,941,497827,0.09999999999999998,0.0055248618784530384,0.05263157894736842,0.02,0.2653061224489796,0.13157894736842105,0.05714285714285714,0.38095238095238093,0.25,0.02165431135388217,0.006019125595675952,0.00067574203167262,0.1045829796902311
"org.apache.avro.io.JsonDecoder.doAction(Symbol, Symbol)",9,4,2,2,30,9,9,8,0,13,1,2009,0.09999999999999998,0.008287292817679558,0.10526315789473684,0.02,0.29591836734693877,0.21052631578947367,0.12857142857142856,0.19047619047619047,1e-13,4.696463923931735e-05,6.396520292960629e-06,2.7256310429720846e-06,0.10318708356863801
"org.apache.avro.tool.JsonToBinaryFragmentTool.run(InputStream, PrintStream, PrintStream, List<String>)",9,173,9,59,31,4,5,14,0,0,0,1,0.09999999999999998,0.47513812154696133,0.47368421052631576,0.59,0.30612244897959184,0.07894736842105263,0.07142857142857142,0.3333333333333333,1e-13,1e-13,1e-13,1e-13,0.09872896527033914
org.apache.avro.ipc.Requestor.readHandshake(Decoder),6,218,19,65,29,6,10,8,1,18,0,61,0.4,0.5994475138121547,1.0,0.65,0.2857142857142857,0.13157894736842105,0.14285714285714285,0.19047619047619047,0.25,6.502796202367018e-05,1e-13,8.144315865454435e-08,0.09383550846666963
