method,issue
"org.apache.avro.specific.SpecificRequestor.SpecificRequestor(Protocol, Transceiver)",
org.apache.avro.specific.SpecificCompiler.esc(Object),
"org.apache.avro.reflect.ReflectData.createFieldSchema(Field, Map<String, Schema>)",
org.apache.avro.specific.SpecificDatumWriter.SpecificDatumWriter(Schema),
"org.apache.avro.reflect.ReflectDatumWriter.ReflectDatumWriter(Class<T>, ReflectData)",
org.apache.avro.io.Decoder.readFixed(byte[]),
org.apache.avro.file.DataFileReader.blockFinished(),
"org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, InputStream)",
"org.apache.avro.reflect.ReflectRequestor.getClient(Class<?>, Transceiver)",
"org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, String)",
org.apache.avro.io.ValidatingDecoder.readLong(),
org.apache.avro.io.ValidatingDecoder.readDouble(),
org.apache.avro.util.Utf8.Utf8(byte[]),
"org.apache.avro.specific.SpecificResponder.SpecificResponder(Class, Object)",
"org.apache.avro.specific.SpecificDatumReader.createEnum(String, Schema)",
org.apache.avro.specific.SpecificRecordBase.compareTo(SpecificRecord),
"org.apache.avro.generic.GenericDatumReader.readString(Object, Decoder)",
org.apache.avro.file.DataFileWriter.assertNotOpen(),
"org.apache.avro.specific.SpecificRequestor.getClient(Class<?>, SpecificRequestor)",
org.apache.avro.io.BlockingBinaryEncoder.writeString(Utf8),
org.apache.avro.io.parsing.Symbol.Symbol(Kind),
"org.apache.avro.io.parsing.Symbol.repeat(Symbol, Symbol...)",
"org.apache.avro.io.BinaryDecoder.init(int, InputStream)",
org.apache.avro.file.DataFileReader.pastSync(long),
org.apache.avro.specific.SpecificFixed.SpecificFixed(),
org.apache.avro.ipc.stats.StatsPlugin.StatsPlugin(),
org.apache.avro.specific.SpecificDatumReader.SpecificDatumReader(Schema),
org.apache.avro.Schema.createArray(Schema),
org.apache.avro.Schema.createMap(Schema),
org.apache.avro.io.ValidatingDecoder.readNull(),
"org.apache.avro.io.ResolvingDecoder.ResolvingDecoder(Object, Decoder)",
"org.apache.avro.io.ResolvingDecoder.resolve(Schema, Schema)",
"org.apache.avro.io.ValidatingDecoder.readFixed(byte[], int, int)",
org.apache.avro.io.ValidatingEncoder.writeInt(int),
org.apache.avro.io.ValidatingEncoder.writeFloat(float),
org.apache.avro.io.ValidatingEncoder.writeString(Utf8),
org.apache.avro.io.JsonEncoder.writeInt(int),
org.apache.avro.io.JsonEncoder.writeFloat(float),
org.apache.avro.io.ValidatingEncoder.writeLong(long),
org.apache.avro.io.JsonEncoder.writeLong(long),
org.apache.avro.io.ValidatingEncoder.writeDouble(double),
org.apache.avro.io.ValidatingEncoder.writeBoolean(boolean),
org.apache.avro.io.JsonEncoder.writeDouble(double),
org.apache.avro.io.JsonEncoder.writeBoolean(boolean),
"org.apache.avro.generic.GenericDatumWriter.writeEnum(Schema, Object, Encoder)",
"org.apache.avro.io.BinaryEncoder.writeBytes(byte[], int, int)",
org.apache.avro.io.ValidatingEncoder.writeBytes(ByteBuffer),
"org.apache.avro.specific.SpecificResponder.SpecificResponder(Protocol, Object)",
"org.apache.avro.io.JsonDecoder.JsonDecoder(Schema, String)",
org.apache.avro.io.BinaryEncoder.flush(),
"org.apache.avro.specific.SpecificRequestor.invoke(Object, Method, Object[])",
"org.apache.avro.specific.SpecificRequestor.getClient(Class<?>, Transceiver)",
"org.apache.avro.specific.SpecificRequestor.readError(Schema, Decoder)",
org.apache.avro.io.DirectBinaryDecoder.readBytes(ByteBuffer),
org.apache.avro.io.JsonEncoder.init(OutputStream),
org.apache.avro.specific.SpecificDatumWriter.SpecificDatumWriter(Class<T>),
org.apache.avro.specific.SpecificDatumReader.SpecificDatumReader(Class<T>),
org.apache.avro.io.Encoder.writeFixed(byte[]),
org.apache.avro.reflect.ReflectDatumReader.ReflectDatumReader(Class<T>),
org.apache.avro.file.NullCodec.equals(Object),
org.apache.avro.ipc.HttpServer.getPort(),
"org.apache.avro.ipc.HttpTransceiver.writeLength(int, OutputStream)",
org.apache.avro.file.DataFileWriter.assertOpen(),
org.apache.avro.io.parsing.Symbol.root(Symbol...),
"org.apache.avro.io.parsing.Symbol.alt(Symbol[], String[])",
org.apache.avro.io.BlockingBinaryEncoder.BlockingBinaryEncoder(OutputStream),
"org.apache.avro.reflect.ReflectDatumWriter.ReflectDatumWriter(Schema, ReflectData)",
"org.apache.avro.generic.GenericData.hashCodeAdd(int, Object, Schema)",
org.apache.avro.file.LengthLimitedInputStream.remainingInt(),
"org.apache.avro.generic.GenericDatumReader.readString(Object, Schema, Decoder)",
"org.apache.avro.io.BinaryDecoder.BinaryDecoder(int, InputStream)",
org.apache.avro.util.Utf8.compareTo(Utf8),
org.apache.avro.io.ValidatingDecoder.init(InputStream),
org.apache.avro.io.ValidatingDecoder.skipString(),
org.apache.avro.io.ValidatingEncoder.writeNull(),
org.apache.avro.io.JsonEncoder.writeNull(),
"org.apache.avro.specific.SpecificResponder.writeResponse(Schema, Object, Encoder)",
"org.apache.avro.generic.GenericRequestor.writeRequest(Schema, Object, Encoder)",
"org.apache.avro.generic.GenericResponder.writeResponse(Schema, Object, Encoder)",
org.apache.avro.io.ValidatingDecoder.skipBytes(),
"org.apache.avro.io.BlockingBinaryEncoder.writeFixed(byte[], int, int)",
"org.apache.avro.specific.SpecificResponder.writeError(Schema, AvroRemoteException, Encoder)",
org.apache.avro.io.BinaryEncoder.init(OutputStream),
"org.apache.avro.generic.GenericResponder.readRequest(Schema, Decoder)",
"org.apache.avro.specific.SpecificRequestor.readResponse(Schema, Decoder)",
"org.apache.avro.generic.GenericRequestor.readResponse(Schema, Decoder)",
"org.apache.avro.reflect.ReflectDatumReader.readString(Object, Decoder)",
"org.apache.avro.file.DataFileWriter.setMeta(String, long)",
org.apache.avro.file.SeekableFileInput.SeekableFileInput(File),
org.apache.avro.Protocol.toString(),
org.apache.avro.ipc.HttpTransceiver.HttpTransceiver(URL),
org.apache.avro.io.JsonDecoder.arrayNext(),
org.apache.avro.io.JsonDecoder.mapNext(),
org.apache.avro.file.CodecFactory.toString(),
org.apache.avro.specific.SpecificRecordBase.hashCode(),
org.apache.avro.specific.SpecificExceptionBase.hashCode(),
org.apache.avro.file.LengthLimitedInputStream.available(),
org.apache.avro.ipc.Requestor.addRPCPlugin(RPCPlugin),
"org.apache.avro.io.parsing.Symbol.resolve(Symbol, Symbol)",
"org.apache.avro.generic.GenericDatumReader.readBytes(Object, Decoder)",
"org.apache.avro.generic.GenericDatumWriter.getField(Object, String, int)",
"org.apache.avro.generic.GenericDatumReader.getField(Object, String, int)",
org.apache.avro.file.DataFileStream.getMeta(String),
org.apache.avro.ipc.stats.StatsServlet.formatMillis(float),
org.apache.avro.ipc.ByteBufferInputStream.ByteBufferInputStream(List<ByteBuffer>),
org.apache.avro.io.parsing.Symbol.error(String),
org.apache.avro.specific.SpecificRequestor.getDatumReader(Schema),
org.apache.avro.specific.SpecificResponder.getDatumWriter(Schema),
"org.apache.avro.specific.SpecificDatumWriter.SpecificDatumWriter(Schema, SpecificData)",
"org.apache.avro.reflect.ReflectDatumWriter.writeString(Object, Encoder)",
org.apache.avro.ipc.DatagramTransceiver.DatagramTransceiver(DatagramChannel),
"org.apache.avro.ipc.stats.FloatHistogram.FloatHistogram(Segmenter<B, Float>)",
"org.apache.avro.AvroRuntimeException.AvroRuntimeException(String, Throwable)",
"org.apache.avro.AvroTypeException.AvroTypeException(String, Throwable)",
"org.apache.avro.file.CodecFactory.addCodec(String, CodecFactory)",
org.apache.avro.ipc.stats.StatsServlet.StatsServlet(StatsPlugin),
org.apache.avro.ipc.LocalTransceiver.LocalTransceiver(Responder),
org.apache.avro.BarRecord.BarRecord(String),
"org.apache.avro.generic.GenericDatumReader.setField(Object, String, int, Object)",
org.apache.avro.ipc.LocalTransceiver.transceive(List<ByteBuffer>),
"org.apache.avro.generic.GenericDatumReader.readInt(Object, Schema, Decoder)",
org.apache.avro.ipc.HttpTransceiver.writeBuffers(List<ByteBuffer>),
org.apache.avro.io.ValidatingEncoder.setItemCount(long),
"org.apache.avro.specific.SpecificDatumWriter.writeEnum(Schema, Object, Encoder)",
org.apache.avro.io.ValidatingDecoder.skipFixed(int),
org.apache.avro.ipc.HttpTransceiver.readBuffers(),
org.apache.avro.reflect.ReflectDatumWriter.ReflectDatumWriter(Class<T>),
org.apache.avro.reflect.ReflectData.getRecordSchema(Object),
"org.apache.avro.io.BinaryDecoder.readFixed(byte[], int, int)",
org.apache.avro.io.BinaryEncoder.setItemCount(long),
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(GenericData),
"org.apache.avro.generic.GenericDatumWriter.writeString(Object, Encoder)",
"org.apache.avro.generic.GenericDatumReader.addToMap(Object, Object, Object)",
"org.apache.avro.io.BinaryEncoder.writeFixed(byte[], int, int)",
org.apache.avro.io.BinaryEncoder.writeBoolean(boolean),
"org.apache.avro.generic.GenericDatumWriter.writeString(Schema, Object, Encoder)",
org.apache.avro.generic.GenericDatumReader.peekArray(Object),AVRO-637
org.apache.avro.ipc.ByteBufferOutputStream.ByteBufferOutputStream(),
org.apache.avro.generic.GenericDatumWriter.getMapEntries(Object),
org.apache.avro.generic.GenericDatumWriter.getArraySize(Object),AVRO-637
org.apache.avro.generic.GenericDatumWriter.getArrayElements(Object),AVRO-637
org.apache.avro.generic.GenericDatumWriter.getMapSize(Object),
org.apache.avro.file.DataFileStream.DataFileStream(DatumReader<D>),
"org.apache.avro.specific.SpecificDatumWriter.getField(Object, String, int)",
org.apache.avro.file.DeflateCodec.DeflateCodec(int),
org.apache.avro.generic.GenericData.getRecordSchema(Object),
org.apache.avro.specific.SpecificRequestor.getDatumWriter(Schema),
org.apache.avro.specific.SpecificResponder.getDatumReader(Schema),
org.apache.avro.Protocol.parseDoc(JsonNode),
org.apache.avro.specific.SpecificCompiler.escapeForJavaDoc(String),
org.apache.avro.file.DataFileWriter.isReserved(String),
org.apache.avro.ipc.ResponderServlet.ResponderServlet(Responder),
org.apache.avro.file.LengthLimitedInputStream.read(byte[]),
org.apache.avro.ipc.stats.StatsPlugin.createNewHistogram(),
org.apache.avro.FooRecord.FooRecord(int),
org.apache.avro.io.ValidatingEncoder.startItem(),
org.apache.avro.io.JsonDecoder.skipFixed(int),
org.apache.avro.ipc.ByteBufferInputStream.read(),
org.apache.avro.specific.SpecificRecordBase.toString(),
org.apache.avro.file.CodecFactory.deflateCodec(int),
org.apache.avro.Protocol.getTypes(),
"org.apache.avro.generic.GenericDatumReader.addToArray(Object, long, Object)",AVRO-637
org.apache.avro.io.BinaryEncoder.writeLong(long),
org.apache.avro.ipc.stats.Histogram.entries(),
"org.apache.avro.generic.GenericDatumWriter.writeBytes(Object, Encoder)",
org.apache.avro.generic.GenericData.isString(Object),
org.apache.avro.generic.GenericData.isBytes(Object),
"org.apache.avro.specific.SpecificDatumReader.setField(Object, String, int, Object)",
org.apache.avro.ipc.stats.StatsPlugin.nanosToMillis(long),
org.apache.avro.ipc.SocketServer.close(),
org.apache.avro.ipc.Transceiver.close(),
org.apache.avro.ipc.DatagramServer.getPort(),
org.apache.avro.io.BinaryDecoder.readMapStart(),
org.apache.avro.io.BinaryDecoder.mapNext(),
org.apache.avro.file.DeflateCodec.toString(),
org.apache.avro.file.Codec.toString(),
org.apache.avro.reflect.ReflectRequestor.getDatumWriter(Schema),
org.apache.avro.reflect.ReflectResponder.getDatumWriter(Schema),
org.apache.avro.reflect.ReflectResponder.getDatumReader(Schema),
org.apache.avro.reflect.ReflectRequestor.getDatumReader(Schema),
org.apache.avro.specific.SpecificData.getRecordSchema(Object),
org.apache.avro.file.SeekableFileInput.SeekableFileInput(FileDescriptor),
org.apache.avro.SchemaParseException.SchemaParseException(Throwable),
org.apache.avro.io.ValidatingEncoder.flush(),
org.apache.avro.io.BinaryDecoder.skipFixed(int),
org.apache.avro.io.BinaryEncoder.writeInt(int),
org.apache.avro.io.BinaryEncoder.writeFloat(float),
org.apache.avro.io.BinaryEncoder.writeDouble(double),
org.apache.avro.io.BinaryEncoder.writeIndex(int),
org.apache.avro.io.BinaryEncoder.writeBytes(ByteBuffer),
org.apache.avro.generic.GenericData.isMap(Object),
org.apache.avro.generic.GenericData.isRecord(Object),
org.apache.avro.generic.GenericData.isArray(Object),AVRO-637
org.apache.avro.generic.GenericData.isFixed(Object),
org.apache.avro.io.BinaryEncoder.writeEnum(int),
org.apache.avro.generic.GenericData.isEnum(Object),
"org.apache.avro.reflect.ReflectDatumWriter.writeBytes(Object, Encoder)",
org.apache.avro.ipc.ByteBufferOutputStream.write(ByteBuffer),
org.apache.avro.io.Encoder.writeString(Utf8),
org.apache.avro.file.SeekableFileInput.tell(),
org.apache.avro.file.SeekableFileInput.length(),
org.apache.avro.io.BinaryDecoder.readIndex(),
org.apache.avro.io.BinaryDecoder.readArrayStart(),
org.apache.avro.io.BinaryDecoder.arrayNext(),
org.apache.avro.io.BinaryDecoder.readEnum(),
org.apache.avro.io.BinaryDecoder.skipArray(),
org.apache.avro.io.BinaryDecoder.skipString(),
org.apache.avro.io.BinaryDecoder.skipBytes(),
org.apache.avro.io.BinaryDecoder.skipMap(),
org.apache.avro.reflect.ReflectDatumReader.ReflectDatumReader(),
org.apache.avro.file.SeekableFileInput.seek(long),
org.apache.avro.ipc.HttpTransceiver.getRemoteName(),
org.apache.avro.ipc.DatagramTransceiver.getRemoteName(),
org.apache.avro.io.BinaryEncoder.writeArrayEnd(),
org.apache.avro.io.BinaryEncoder.writeMapEnd(),
org.apache.avro.io.BlockingBinaryEncoder.writeEnum(int),
org.apache.avro.io.ParsingDecoder.skipAction(),
org.apache.avro.io.DecoderFactory.DecoderFactory(),
org.apache.avro.util.Utf8.Utf8(),
org.apache.avro.io.BinaryDecoder.BinaryDecoder(),
org.apache.avro.BarRecord.BarRecord(),
org.apache.avro.Protocol.Protocol(),
org.apache.avro.specific.SpecificDatumReader.SpecificDatumReader(),
org.apache.avro.io.Encoder.writeBytes(ByteBuffer),
org.apache.avro.ipc.DatagramServer.close(),
