class,path,package,methods
PDPropertyList,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\documentinterchange\markedcontent\PDPropertyList.java,org.apache.pdfbox.pdmodel.documentinterchange.markedcontent,"create,PDPropertyList,PDPropertyList,getCOSObject"
PDDeviceGray,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDDeviceGray.java,org.apache.pdfbox.pdmodel.graphics.color,"PDDeviceGray,getName,getNumberOfComponents,getDefaultDecode,getInitialColor,toRGB,toRGBImage"
PDDeviceN,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDDeviceN.java,org.apache.pdfbox.pdmodel.graphics.color,"PDDeviceN,PDDeviceN,initColorConversionCache,toRGBImage,toRGBWithAttributes,toRGBWithTintTransform,toRGB,toRGBWithAttributes,toRGBWithTintTransform,isNChannel,getName,getNumberOfComponents,getDefaultDecode,getInitialColor,getColorantNames,getAttributes,setColorantNames,setAttributes,getAlternateColorSpace,setAlternateColorSpace,getTintTransform,setTintTransform,toString"
PDDeviceRGB,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDDeviceRGB.java,org.apache.pdfbox.pdmodel.graphics.color,"PDDeviceRGB,init,getName,getNumberOfComponents,getDefaultDecode,getInitialColor,toRGB,toRGBImage"
PDICCBased,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDICCBased.java,org.apache.pdfbox.pdmodel.graphics.color,"PDICCBased,PDICCBased,getName,getPDStream,loadICCProfile,is_sRGB,toRGB,toRGBImage,getNumberOfComponents,getDefaultDecode,getInitialColor,getAlternateColorSpace,getRangeForComponent,getMetadata,getColorSpaceType,setNumberOfComponents,setAlternateColorSpaces,setRangeForComponent,setMetadata,toString"
PDPattern,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDPattern.java,org.apache.pdfbox.pdmodel.graphics.color,"PDPattern,PDPattern,getName,getNumberOfComponents,getDefaultDecode,getInitialColor,toRGB,toRGBImage,getPattern,getUnderlyingColorSpace,toString"
PDSeparation,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDSeparation.java,org.apache.pdfbox.pdmodel.graphics.color,"PDSeparation,PDSeparation,getName,getNumberOfComponents,getDefaultDecode,getInitialColor,toRGB,toRGBImage,toRGBImage2,tintTransform,getAlternateColorSpace,getColorantName,setColorantName,setAlternateColorSpace,setTintTransform,toString"
PDInlineImage,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\image\PDInlineImage.java,org.apache.pdfbox.pdmodel.graphics.image,"PDInlineImage,getCOSObject,getBitsPerComponent,setBitsPerComponent,getColorSpace,toLongName,createColorSpace,setColorSpace,getHeight,setHeight,getWidth,setWidth,getInterpolate,setInterpolate,getFilters,setFilters,setDecode,getDecode,isStencil,setStencil,createInputStream,createInputStream,isEmpty,getData,getImage,getStencilImage,getColorKeyMask,getSuffix"
PDShading,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\shading\PDShading.java,org.apache.pdfbox.pdmodel.graphics.shading,"PDShading,PDShading,getCOSObject,getType,setShadingType,getShadingType,setBackground,getBackground,getBBox,setBBox,setAntiAlias,getAntiAlias,getColorSpace,setColorSpace,create,setFunction,setFunction,getFunction,getFunctionsArray,evalFunction,evalFunction,toPaint"
PDExtendedGraphicsState,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\state\PDExtendedGraphicsState.java,org.apache.pdfbox.pdmodel.graphics.state,"PDExtendedGraphicsState,PDExtendedGraphicsState,copyIntoGraphicsState,getCOSObject,getLineWidth,setLineWidth,getLineCapStyle,setLineCapStyle,getLineJoinStyle,setLineJoinStyle,getMiterLimit,setMiterLimit,getLineDashPattern,setLineDashPattern,getRenderingIntent,setRenderingIntent,getStrokingOverprintControl,setStrokingOverprintControl,getNonStrokingOverprintControl,setNonStrokingOverprintControl,getOverprintMode,setOverprintMode,getFontSetting,setFontSetting,getFlatnessTolerance,setFlatnessTolerance,getSmoothnessTolerance,setSmoothnessTolerance,getAutomaticStrokeAdjustment,setAutomaticStrokeAdjustment,getStrokingAlphaConstant,setStrokingAlphaConstant,getNonStrokingAlphaConstant,setNonStrokingAlphaConstant,getAlphaSourceFlag,setAlphaSourceFlag,getBlendMode,getSoftMask,getTextKnockoutFlag,setTextKnockoutFlag,getFloatItem,setFloatItem,getTransfer,setTransfer,getTransfer2,setTransfer2"
RenderingMode,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\state\RenderingMode.java,org.apache.pdfbox.pdmodel.graphics.state,"fromInt,RenderingMode,intValue,isFill,isStroke,isClip,values,valueOf"
NumberFormatUtil,pdfbox\src\main\java\org\apache\pdfbox\util\NumberFormatUtil.java,org.apache.pdfbox.util,"formatFloatFast,formatPositiveNumber,getExponent"
RubberStampAnnotationValidator,preflight\src\main\java\org\apache\pdfbox\preflight\annotation\RubberStampAnnotationValidator.java,org.apache.pdfbox.preflight.annotation,RubberStampAnnotationValidator
PDAnnotationRubberStamp,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\annotation\PDAnnotationRubberStamp.java,org.apache.pdfbox.pdmodel.interactive.annotation,"PDAnnotationRubberStamp,PDAnnotationRubberStamp,setName,getName"
SinglePageValidationProcess,preflight\src\main\java\org\apache\pdfbox\preflight\process\reflect\SinglePageValidationProcess.java,org.apache.pdfbox.preflight.process.reflect,"validate,validateActions,validateColorSpaces,validateGraphicObjects,validateResources,validateContent,validateAnnotation,validateGroupTransparency"
PreflightConfiguration,preflight\src\main\java\org\apache\pdfbox\preflight\PreflightConfiguration.java,org.apache.pdfbox.preflight,"createPdfA1BConfiguration,getProcessNames,getInstanceOfProcess,replaceProcess,removeProcess,getPageValidationProcessNames,replacePageProcess,removePageProcess,isErrorOnMissingProcess,setErrorOnMissingProcess,isLazyValidation,setLazyValidation,getAnnotFact,setAnnotFact,getActionFact,setActionFact,getColorSpaceHelperFact,setColorSpaceHelperFact"
PreflightPath,preflight\src\main\java\org\apache\pdfbox\preflight\PreflightPath.java,org.apache.pdfbox.preflight,"pushObject,getPathElement,getClosestTypePosition,getClosestPathElement,peek,pop,clear,size,isEmpty,isExpectedType"
