method,Time,OwnTime,count
org.apache.ivy.plugins.resolver.RepositoryResolver_ESTest.test24(),11,0,1
"org.apache.tools.ant.helper.ProjectHelper2$ProjectHandler.onStartChild(String, String, String, Attributes, AntXMLContext)",0,0,44
org.apache.ivy.plugins.repository.file.FileRepository.setBaseDir(File),0,0,9
"org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler)",20981,0,622
org.apache.ivy.core.search.RevisionEntry_ESTest.test02(),0,0,1
org.apache.ivy.plugins.matcher.GlobPatternMatcher_ESTest.test1(),0,0,1
org.apache.ivy.plugins.resolver.IvyRepResolver.getIvyPatterns(),2,0,28
org.apache.ivy.core.publish.PublishOptions_ESTest.test021(),0,0,1
org.apache.ivy.core.deliver.DeliverOptions_ESTest.test49(),0,0,1
"java.util.Vector.subList(int, int)",0,0,5
com.sun.org.apache.xml.internal.dtm.ref.sax2dtm.SAX2DTM2$TypedAttributeIterator.next(),0,0,1234
org.apache.ivy.util.url.CredentialsStore_ESTest.test3(),0,0,1
org.apache.ivy.plugins.version.Match_ESTest.test10(),0,0,1
"org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.setProperty(String,",232,58,48081
org.apache.ivy.core.publish.PublishOptions_ESTest.test064(),0,0,1
org.apache.ivy.plugins.resolver.AbstractResolver.isValidate(),0,0,6
java.util.Random.<init>(long),0,0,4
org.apache.ivy.util.url.URLHandlerDispatcher_ESTest.test26(),0,0,1
org.apache.ivy.core.event.download.StartArtifactDownloadEvent_ESTest.<init>(),0,0,4
org.apache.ivy.plugins.repository.ssh.SshRepository_ESTest.test08(),0,0,1
org.apache.tools.ant.util.ClasspathUtils$Delegate.getClassLoadId(),0,0,11
"org.apache.commons.httpclient.HttpMethodBase.checkExecuteConditions(HttpState, HttpConnection)",0,0,205
org.apache.ivy.ant.IvyAntSettings.setUrl(String),0,0,13
org.apache.ivy.util.ContextualSAXHandler.getContext(),1,0,78
org.apache.ivy.ant.IvyInstall_ESTest.test20(),0,0,1
"org.apache.ivy.util.url.URLHandlerDispatcher.getContentLength(URL, int)",4,0,7
org.apache.ivy.core.settings.IvySettings.logResolvedRevision(),0,0,46
java.lang.reflect.Field.get(Object),10,9,1907
org.apache.ivy.ant.IvyDeliver_ESTest.test02(),0,0,1
"org.apache.tools.ant.taskdefs.Execute.launch(Project, String[], String[], File, boolean)",12,0,1
org.apache.ivy.util.EncrytedProperties_ESTest.test09(),0,0,1
org.apache.commons.httpclient.util.ExceptionUtil.class$(String),0,0,6
"org.apache.ivy.plugins.repository.ssh.SshCache.attachChannelSftp(Session, ChannelSftp)",0,0,1
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater$UpdaterHandler.fillIndents(int),7,3,1255
java.lang.System.runFinalization(),7,7,20
org.apache.ivy.plugins.repository.vsftp.VsftpRepository_ESTest.test37(),0,0,1
org.apache.ivy.util.url.URLHandlerDispatcher_ESTest.test18(),0,0,1
javax.xml.parsers.DocumentBuilder.parse(InputStream),212,0,46
org.apache.ivy.util.Message.isShowProgress(),1,0,6
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.addInheritedDescriptor(ExtendsDescriptor),0,0,6
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor_ESTest.test26(),64,0,1
org.apache.ivy.plugins.resolver.RepositoryResolver_ESTest.test00(),5,0,1
java.io.File.getAbsolutePath(),187,186,16959
java.util.Properties.propertyNames(),27,27,115
org.apache.ivy.util.ContextualSAXHandler_ESTest.test2(),0,0,1
org.apache.ivy.plugins.repository.ResourceHelper_ESTest.test01(),169,0,1
"org.apache.tools.ant.IntrospectionHelper.supportsNestedElement(String, String)",8,1,551
org.apache.ivy.plugins.repository.sftp.SFTPRepository_ESTest.test13(),80,0,1
