method,pattern,space
"org.apache.ivy.ant.IvyAntVariableContainer.setPropertyIfNotSet(String, String)",FreqExec,"org.apache.ivy.ant.IvyAntVariableContainer.setPropertyIfNotSet(String, String); org.apache.ivy.ant.IvyAntVariableContainer.updateProject(String)"
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.DefaultModuleDescriptor(ModuleDescriptorParser, Resource)",HotCallee,"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.DefaultModuleDescriptor(ModuleDescriptorParser, Resource); org.apache.ivy.core.module.status.StatusManager.getCurrent()"
org.apache.ivy.core.IvyContext.peekIvy(),FreqExec,"org.apache.ivy.core.IvyContext.peekIvy(); org.apache.ivy.core.IvyContext.getIvy(); org.apache.ivy.core.IvyContext.getMessageLogger(); org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String, String, Map, boolean); org.apache.ivy.Ivy.pushContext()"
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleDescriptor, Collection, DependencyResolver, PublishOptions)",HotCallee,"org.apache.ivy.core.publish.PublishEngine.publish(ModuleDescriptor, Collection, DependencyResolver, PublishOptions); org.apache.ivy.core.publish.PublishEngine.publish(Artifact, File, DependencyResolver, boolean); org.apache.ivy.core.settings.IvySettings.substitute(String)"
org.apache.ivy.util.FileUtil.normalize(String),HotExec,org.apache.ivy.util.FileUtil.normalize(String)
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.saveResolvers(ModuleDescriptor, String, String)",HotCallee,"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.saveResolvers(ModuleDescriptor, String, String)"
"org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL, int)",HotCallee,"org.apache.ivy.util.url.BasicURLHandler.getURLInfo(URL, int); org.apache.ivy.util.url.BasicURLHandler.disconnect(URLConnection); org.apache.ivy.util.url.BasicURLHandler.checkStatusCode(URL, HttpURLConnection)"
org.apache.ivy.core.module.descriptor.AbstractArtifact.hashCode(),FreqExec,"org.apache.ivy.core.module.descriptor.AbstractArtifact.hashCode(); java.util.HashMap.put(Object, Object); java.util.HashSet.add(Object); java.util.HashMap.get(Object); java.util.AbstractCollection.addAll(Collection); org.apache.ivy.core.report.ArtifactDownloadReport.hashCode()"
"org.apache.ivy.util.Checks.checkNotNull(Object, String)",FreqExec,"org.apache.ivy.util.Checks.checkNotNull(Object, String); org.apache.ivy.util.Checks.checkAbsolute(String, String); org.apache.ivy.core.module.id.ModuleRules.getRule(ModuleId, Filter); org.apache.ivy.plugins.version.ChainVersionMatcher.add(VersionMatcher); org.apache.ivy.plugins.version.AbstractVersionMatcher.setSettings(IvySettings); org.apache.ivy.core.resolve.VisitNode.VisitNode(ResolveData, IvyNode, VisitNode, String, String, IvyNodeUsage); org.apache.ivy.ant.AntMessageLogger.AntMessageLogger(ProjectComponent); org.apache.ivy.util.MessageLoggerEngine.pushLogger(MessageLogger); org.apache.ivy.core.cache.ArtifactOrigin.ArtifactOrigin(Artifact, boolean, String); org.apache.ivy.plugins.version.ChainVersionMatcher.isDynamic(ModuleRevisionId); org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.DefaultDependencyDescriptor(ModuleDescriptor, ModuleRevisionId, ModuleRevisionId, boolean, boolean, boolean); org.apache.ivy.plugins.resolver.AbstractResolver.checkLatest(DependencyDescriptor, ResolvedModuleRevision, ResolveData); org.apache.ivy.plugins.version.ChainVersionMatcher.accept(ModuleRevisionId, ModuleDescriptor); org.apache.ivy.core.module.id.ModuleRules.getRule(ModuleRevisionId, Filter)"
org.apache.ivy.util.MessageLoggerEngine.peekLogger(),FreqExec,org.apache.ivy.util.MessageLoggerEngine.peekLogger(); org.apache.ivy.util.MessageLoggerEngine.info(String); org.apache.ivy.util.MessageLoggerEngine.verbose(String); org.apache.ivy.util.MessageLoggerEngine.debug(String)
"org.apache.ivy.Ivy.resolve(URL, ResolveOptions)",HotCallee,"org.apache.ivy.Ivy.resolve(URL, ResolveOptions); org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions)"
org.apache.ivy.core.module.id.ModuleId.hashCode(),FreqExec,"org.apache.ivy.core.module.id.ModuleId.hashCode(); org.apache.ivy.core.module.id.ModuleRevisionId.hashCode(); java.util.WeakHashMap.get(Object); org.apache.ivy.core.module.id.ArtifactId.hashCode(); java.util.HashMap.put(Object, Object); java.util.HashMap$KeySet.contains(Object); org.apache.ivy.core.resolve.IvyNodeEviction$ModuleIdConf.hashCode(); java.util.LinkedHashMap.get(Object); java.util.HashMap.get(Object); java.util.WeakHashMap.put(Object, Object)"
org.apache.ivy.ant.IvyTask.execute(),HotCallee,org.apache.ivy.ant.IvyTask.execute(); org.apache.ivy.ant.IvyTask.prepareTask(); org.apache.ivy.ant.IvyResolve.doExecute(); org.apache.ivy.ant.IvyResolve.prepareTask(); org.apache.ivy.ant.IvyRetrieve.doExecute()
org.apache.ivy.util.MemoryUtil.getUsedMemory(),HotCallee,org.apache.ivy.util.MemoryUtil.getUsedMemory(); org.apache.ivy.util.MemoryUtil.gc()
"org.apache.ivy.osgi.obr.xml.RequirementAdapter.parseCompareFilter(CompareFilter, boolean)",FreqExec,"org.apache.ivy.osgi.obr.xml.RequirementAdapter.parseCompareFilter(CompareFilter, boolean); org.apache.ivy.osgi.obr.xml.RequirementAdapter.extractFilter(RequirementFilter)"
"org.apache.ivy.osgi.obr.filter.CompareFilter.CompareFilter(String, Operator, String)",FreqExec,"org.apache.ivy.osgi.obr.filter.CompareFilter.CompareFilter(String, Operator, String); org.apache.ivy.osgi.obr.filter.RequirementFilterParser$Parser.parseCompare()"
"org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String)",FreqExec,"org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String); org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String)"
