method,Time,Count
org.apache.cxf.BusFactory.getThreadDefaultBus(),1640,812
org.apache.cxf.xkms.x509.repo.ldap.LDAPCertificateRepoTest.testSaveServiceCert(),1636,2
"org.apache.cxf.tools.corba.processors.idl.WSDLSchemaManager.attachSchemaToWSDL(Definition, XmlSchema, boolean)",1634,132
"org.apache.cxf.wsdl11.ServiceWSDLBuilderTest.setupWSDL(String, boolean)",1624,22
com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl.newTemplates(Source),1614,26
com.ibm.wsdl.xml.WSDLReaderImpl.readWSDL(String),1580,28
org.apache.cxf.ws.rm.policy.PolicyUtilsTest.testGetRMConfiguration(),1564,2
org.apache.cxf.jaxws.support.JaxWsServiceFactoryBean.getExtraClass(),1554,242
org.apache.cxf.jaxws.support.JaxWsServiceFactoryBean.generatedWrapperBeanClass(),1542,242
"org.apache.cxf.wsdl11.SchemaSerializer.writeXml(Node, PrintWriter)",1526,190
javax.wsdl.factory.WSDLFactory.newInstance(),1516,596
"org.apache.cxf.jaxrs.model.wadl.WadlGenerator.generateWADL(String, List, boolean, Message, UriInfo)",1514,20
"org.apache.xerces.impl.xs.opti.SchemaDOMParser.startElement(QName, XMLAttributes,",1508,71864
