method,method,invocation counts
"org.apache.commons.logging.LogFactory.createFactory(String, ClassLoader)",java.lang.Class.newInstance(),15
java.lang.Class.newInstance(),org.apache.commons.logging.impl.LogFactoryImpl.<init>(),13
org.apache.commons.logging.impl.LogFactoryImpl.<init>(),org.apache.commons.logging.impl.LogFactoryImpl.initDiagnostics(),13
org.apache.commons.logging.impl.LogFactoryImpl.initDiagnostics(),org.apache.commons.logging.LogFactory.objectId(Object),13
org.apache.commons.logging.LogFactory.objectId(Object),java.lang.StringBuffer.append(int),70
org.apache.commons.logging.LogFactory.objectId(Object),java.lang.StringBuffer.append(String),140
org.apache.commons.logging.LogFactory.objectId(Object),java.lang.StringBuffer.<init>(),70
org.apache.commons.logging.LogFactory.objectId(Object),java.lang.StringBuffer.toString(),70
org.apache.commons.logging.LogFactory.objectId(Object),java.lang.Class.getName(),70
org.apache.commons.logging.impl.LogFactoryImpl.initDiagnostics(),java.lang.StringBuffer.append(String),52
org.apache.commons.logging.impl.LogFactoryImpl.initDiagnostics(),org.apache.commons.logging.impl.LogFactoryImpl.getClassLoader(Class),13
org.apache.commons.logging.impl.LogFactoryImpl.getClassLoader(Class),org.apache.commons.logging.LogFactory.getClassLoader(Class),26
org.apache.commons.logging.LogFactory.getClassLoader(Class),java.lang.Class.getClassLoader(),32
org.apache.commons.logging.impl.LogFactoryImpl.initDiagnostics(),java.lang.StringBuffer.append(int),13
org.apache.commons.logging.impl.LogFactoryImpl.initDiagnostics(),java.lang.StringBuffer.<init>(),13
org.apache.commons.logging.impl.LogFactoryImpl.initDiagnostics(),java.lang.StringBuffer.toString(),13
org.apache.commons.logging.impl.LogFactoryImpl.<init>(),org.apache.commons.logging.impl.LogFactoryImpl.class$(String),10
org.apache.commons.logging.impl.LogFactoryImpl.class$(String),java.lang.Class.forName(String),15
org.apache.commons.logging.impl.LogFactoryImpl.<init>(),java.util.Hashtable.<init>(),26
org.apache.commons.logging.impl.LogFactoryImpl.<init>(),org.apache.commons.logging.impl.LogFactoryImpl.isDiagnosticsEnabled(),13
org.apache.commons.logging.impl.LogFactoryImpl.<init>(),org.apache.commons.logging.LogFactory.<init>(),13
java.lang.Class.newInstance(),org.apache.commons.logging.impl.LogFactoryImpl.<clinit>(),5
org.apache.commons.logging.impl.LogFactoryImpl.<clinit>(),java.lang.String.length(),5
"org.apache.commons.logging.LogFactory.newFactory(String, ClassLoader, ClassLoader)",java.lang.ClassLoader.loadClass(String),12
"org.apache.commons.logging.LogFactory.newFactory(String, ClassLoader, ClassLoader)","org.apache.commons.logging.LogFactory$2.<init>(String, ClassLoader)",15
org.apache.commons.logging.LogFactory.getFactory(),org.apache.commons.logging.LogFactory.getCachedFactory(ClassLoader),167
org.apache.commons.logging.LogFactory.getCachedFactory(ClassLoader),org.apache.commons.logging.impl.WeakHashtable.get(Object),167
org.apache.commons.logging.impl.WeakHashtable.get(Object),java.lang.ClassLoader.loadClass(String),24
org.apache.commons.logging.impl.WeakHashtable.get(Object),"org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object, WeakHashtable$1)",167
"org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object, WeakHashtable$1)",org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object),167
org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object),java.lang.ref.WeakReference.<init>(Object),167
org.apache.commons.logging.impl.WeakHashtable.get(Object),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",6
org.apache.commons.logging.impl.WeakHashtable.get(Object),java.util.Hashtable.get(Object),167
org.apache.commons.logging.LogFactory.getFactory(),"org.apache.commons.logging.LogFactory.getConfigurationFile(ClassLoader, String)",15
"org.apache.commons.logging.LogFactory.getConfigurationFile(ClassLoader, String)","org.apache.commons.logging.LogFactory.getResources(ClassLoader, String)",15
"org.apache.commons.logging.LogFactory.getResources(ClassLoader, String)",java.lang.ClassLoader.loadClass(String),12
"org.apache.commons.logging.LogFactory.getResources(ClassLoader, String)",org.apache.commons.logging.LogFactory$4.run(),15
org.apache.commons.logging.LogFactory$4.run(),java.lang.ClassLoader.getResources(String),15
"org.apache.commons.logging.LogFactory.getResources(ClassLoader, String)","java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",6
"org.apache.commons.logging.LogFactory.getResources(ClassLoader, String)","org.apache.commons.logging.LogFactory$4.<init>(ClassLoader, String)",15
"org.apache.commons.logging.LogFactory.getConfigurationFile(ClassLoader, String)",sun.misc.CompoundEnumeration.hasMoreElements(),15
org.apache.commons.logging.LogFactory.getFactory(),"org.apache.commons.logging.LogFactory.getResourceAsStream(ClassLoader, String)",15
"org.apache.commons.logging.LogFactory.getResourceAsStream(ClassLoader, String)",java.lang.ClassLoader.loadClass(String),12
"org.apache.commons.logging.LogFactory.getResourceAsStream(ClassLoader, String)",org.apache.commons.logging.LogFactory$3.run(),15
org.apache.commons.logging.LogFactory$3.run(),java.net.URLClassLoader.getResourceAsStream(String),15
"org.apache.commons.logging.LogFactory.getResourceAsStream(ClassLoader, String)","org.apache.commons.logging.LogFactory$3.<init>(ClassLoader, String)",15
org.apache.commons.logging.LogFactory.getFactory(),org.apache.commons.logging.LogFactory.getContextClassLoaderInternal(),173
org.apache.commons.logging.LogFactory.getContextClassLoaderInternal(),java.lang.ClassLoader.loadClass(String),12
org.apache.commons.logging.LogFactory.getContextClassLoaderInternal(),org.apache.commons.logging.LogFactory$1.run(),167
org.apache.commons.logging.LogFactory$1.run(),org.apache.commons.logging.LogFactory.directGetContextClassLoader(),167
org.apache.commons.logging.LogFactory.directGetContextClassLoader(),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",6
org.apache.commons.logging.LogFactory.directGetContextClassLoader(),java.lang.Thread.getContextClassLoader(),180
org.apache.commons.logging.LogFactory.getContextClassLoaderInternal(),org.apache.commons.logging.LogFactory$1.<init>(),167
org.apache.commons.logging.LogFactory.getFactory(),"org.apache.commons.logging.LogFactory.getSystemProperty(String, String)",15
"org.apache.commons.logging.LogFactory.getSystemProperty(String, String)",org.apache.commons.logging.LogFactory$6.run(),27
org.apache.commons.logging.LogFactory$6.run(),"java.lang.System.getProperty(String, String)",27
"org.apache.commons.logging.LogFactory.getSystemProperty(String, String)","org.apache.commons.logging.LogFactory$6.<init>(String, String)",27
org.apache.commons.logging.LogFactory.getFactory(),"org.apache.commons.logging.LogFactory.cacheFactory(ClassLoader, LogFactory)",15
"org.apache.commons.logging.LogFactory.cacheFactory(ClassLoader, LogFactory)","org.apache.commons.logging.impl.WeakHashtable.put(Object, Object)",15
"org.apache.commons.logging.impl.WeakHashtable.put(Object, Object)","org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object, ReferenceQueue, WeakHashtable$1)",15
"org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object, ReferenceQueue, WeakHashtable$1)","org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object, ReferenceQueue)",15
"org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object, ReferenceQueue)","org.apache.commons.logging.impl.WeakHashtable$WeakKey.<init>(Object, ReferenceQueue, WeakHashtable$Referenced, WeakHashtable$1)",15
"org.apache.commons.logging.impl.WeakHashtable$WeakKey.<init>(Object, ReferenceQueue, WeakHashtable$Referenced, WeakHashtable$1)","org.apache.commons.logging.impl.WeakHashtable$WeakKey.<init>(Object, ReferenceQueue, WeakHashtable$Referenced)",15
"org.apache.commons.logging.impl.WeakHashtable$WeakKey.<init>(Object, ReferenceQueue, WeakHashtable$Referenced)","java.lang.ref.WeakReference.<init>(Object, ReferenceQueue)",15
"org.apache.commons.logging.impl.WeakHashtable.put(Object, Object)","java.util.Hashtable.put(Object, Object)",15
org.apache.commons.logging.LogFactory.getLog(Class),org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class),129
org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class),org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String),129
org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String),org.apache.commons.logging.impl.LogFactoryImpl.newInstance(String),129
org.apache.commons.logging.impl.LogFactoryImpl.newInstance(String),org.apache.commons.logging.impl.LogFactoryImpl.discoverLogImplementation(String),21
org.apache.commons.logging.impl.LogFactoryImpl.discoverLogImplementation(String),"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)",21
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)","java.lang.Class.forName(String, boolean, ClassLoader)",21
"java.lang.Class.forName(String, boolean, ClassLoader)",org.apache.commons.logging.LogFactory.objectId(Object),12
"java.lang.Class.forName(String, boolean, ClassLoader)",org.apache.commons.logging.impl.LogFactoryImpl.logDiagnostic(String),12
org.apache.commons.logging.impl.LogFactoryImpl.logDiagnostic(String),org.apache.commons.logging.impl.LogFactoryImpl.isDiagnosticsEnabled(),60
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)",org.apache.commons.logging.impl.LogFactoryImpl.getBaseClassLoader(),13
org.apache.commons.logging.impl.LogFactoryImpl.getBaseClassLoader(),org.apache.commons.logging.impl.LogFactoryImpl.getContextClassLoaderInternal(),13
org.apache.commons.logging.impl.LogFactoryImpl.getContextClassLoaderInternal(),java.lang.ClassLoader.loadClass(String),10
org.apache.commons.logging.impl.LogFactoryImpl.getContextClassLoaderInternal(),org.apache.commons.logging.impl.LogFactoryImpl$1.run(),13
org.apache.commons.logging.impl.LogFactoryImpl$1.run(),org.apache.commons.logging.impl.LogFactoryImpl.access$000(),13
org.apache.commons.logging.impl.LogFactoryImpl.access$000(),org.apache.commons.logging.LogFactory.directGetContextClassLoader(),13
org.apache.commons.logging.impl.LogFactoryImpl.getContextClassLoaderInternal(),org.apache.commons.logging.impl.LogFactoryImpl$1.<init>(),13
org.apache.commons.logging.impl.LogFactoryImpl.getBaseClassLoader(),org.apache.commons.logging.impl.LogFactoryImpl.class$(String),5
org.apache.commons.logging.impl.LogFactoryImpl.getBaseClassLoader(),org.apache.commons.logging.impl.LogFactoryImpl.getClassLoader(Class),13
org.apache.commons.logging.impl.LogFactoryImpl.getBaseClassLoader(),"org.apache.commons.logging.impl.LogFactoryImpl.getLowestClassLoader(ClassLoader, ClassLoader)",13
