method,LOC,Cyclomatic,FanIn,FanOut,Loop
org.apache.avro.io.Decoder.init(InputStream),1,1,1,0,0
org.apache.avro.io.Decoder.readNull(),1,1,3,0,0
org.apache.avro.io.Decoder.readBoolean(),1,1,7,1,0
org.apache.avro.io.Decoder.readInt(),1,1,16,1,0
org.apache.avro.io.Decoder.readLong(),1,1,16,1,0
org.apache.avro.io.Decoder.readFloat(),1,1,8,1,0
org.apache.avro.io.Decoder.readDouble(),1,1,10,1,0
org.apache.avro.io.Decoder.readString(Utf8),1,1,5,1,0
org.apache.avro.io.Decoder.skipString(),1,1,5,0,0
org.apache.avro.io.Decoder.readBytes(ByteBuffer),1,1,6,1,0
org.apache.avro.io.Decoder.skipBytes(),1,1,8,0,0
"org.apache.avro.io.Decoder.readFixed(byte[], int, int)",2,1,3,0,0
org.apache.avro.io.Decoder.readFixed(byte[]),3,1,7,1,0
org.apache.avro.io.Decoder.skipFixed(int),1,1,5,0,0
org.apache.avro.io.Decoder.readEnum(),1,1,6,1,0
org.apache.avro.io.Decoder.readArrayStart(),1,1,5,1,0
org.apache.avro.io.Decoder.arrayNext(),1,1,5,1,0
org.apache.avro.io.Decoder.skipArray(),1,1,6,1,0
org.apache.avro.io.Decoder.readMapStart(),1,1,4,1,0
org.apache.avro.io.Decoder.mapNext(),1,1,4,1,0
org.apache.avro.io.Decoder.skipMap(),1,1,5,1,0
org.apache.avro.io.Decoder.readIndex(),1,1,6,1,0
org.apache.avro.io.BlockingBinaryEncoder.check(),15,2,31,2,1
org.apache.avro.io.BlockingBinaryEncoder.BlockingBinaryEncoder(OutputStream),3,1,4,2,0
"org.apache.avro.io.BlockingBinaryEncoder.BlockingBinaryEncoder(OutputStream, int)",16,2,9,14,0
org.apache.avro.io.BlockingBinaryEncoder.expandStack(),8,2,6,3,1
org.apache.avro.io.BlockingBinaryEncoder.init(OutputStream),6,1,2,4,0
org.apache.avro.io.BlockingBinaryEncoder.flush(),15,4,9,5,1
org.apache.avro.io.BlockingBinaryEncoder.writeBoolean(boolean),5,3,4,4,0
org.apache.avro.io.BlockingBinaryEncoder.writeInt(int),7,2,5,4,0
org.apache.avro.io.BlockingBinaryEncoder.writeLong(long),7,2,4,4,0
org.apache.avro.io.BlockingBinaryEncoder.writeFloat(float),7,2,4,4,0
org.apache.avro.io.BlockingBinaryEncoder.writeDouble(double),7,2,4,4,0
org.apache.avro.io.BlockingBinaryEncoder.writeString(Utf8),4,1,1,4,0
org.apache.avro.io.BlockingBinaryEncoder.writeBytes(ByteBuffer),4,1,1,5,0
"org.apache.avro.io.BlockingBinaryEncoder.writeFixed(byte[], int, int)",4,1,3,2,0
org.apache.avro.io.BlockingBinaryEncoder.writeEnum(int),3,1,1,1,0
"org.apache.avro.io.BlockingBinaryEncoder.writeBytes(byte[], int, int)",8,2,8,5,0
org.apache.avro.io.BlockingBinaryEncoder.writeArrayStart(),11,2,6,8,0
org.apache.avro.io.BlockingBinaryEncoder.setItemCount(long),7,1,7,2,0
org.apache.avro.io.BlockingBinaryEncoder.startItem(),10,2,5,5,0
org.apache.avro.io.BlockingBinaryEncoder.writeArrayEnd(),11,3,5,3,0
org.apache.avro.io.BlockingBinaryEncoder.writeMapStart(),11,2,6,8,0
org.apache.avro.io.BlockingBinaryEncoder.writeMapEnd(),11,3,5,3,0
org.apache.avro.io.BlockingBinaryEncoder.writeIndex(int),7,2,4,4,0
org.apache.avro.io.BlockingBinaryEncoder.endBlockedValue(),43,8,15,13,1
org.apache.avro.io.BlockingBinaryEncoder.finishOverflow(),13,2,10,8,0
org.apache.avro.io.BlockingBinaryEncoder.ensure(int),13,4,18,4,1
"org.apache.avro.io.BlockingBinaryEncoder.doWriteBytes(byte[], int, int)",14,2,13,5,0
"org.apache.avro.io.BlockingBinaryEncoder.write(byte[], int, int)",22,5,13,5,1
org.apache.avro.io.BlockingBinaryEncoder.compact(),34,7,15,9,2
"org.apache.avro.io.TestValidatingIO.TestValidatingIO(Encoding, int, String, String)",6,1,4,5,0
org.apache.avro.io.TestValidatingIO.testMain(),5,2,5,2,1
"org.apache.avro.io.TestValidatingIO.testOnce(Schema, String, int, Encoding)",8,1,5,3,0
"org.apache.avro.io.TestValidatingIO.make(Schema, String, Object[], Encoding)",20,4,10,9,0
"org.apache.avro.io.TestValidatingIO.generate(Encoder, String, Object[])",94,20,5,26,1
org.apache.avro.io.TestValidatingIO.randomValues(String),50,20,4,20,1
org.apache.avro.io.TestValidatingIO.extractInt(InputScanner),12,3,4,5,1
"org.apache.avro.io.TestValidatingIO.nextBytes(Random, int)",5,1,3,2,0
"org.apache.avro.io.TestValidatingIO.nextString(Random, int)",7,2,3,3,1
"org.apache.avro.io.TestValidatingIO.check(Schema, byte[], String, Object[], int, Encoding)",16,4,10,6,0
"org.apache.avro.io.TestValidatingIO.check(Decoder, String, Object[], int)",157,32,8,41,1
org.apache.avro.io.TestValidatingIO.floatValue(Object),5,3,2,4,0
org.apache.avro.io.TestValidatingIO.doubleValue(Object),6,4,2,5,0
org.apache.avro.io.TestValidatingIO.longValue(Object),5,3,2,4,0
"org.apache.avro.io.TestValidatingIO.skip(InputScanner, Decoder, boolean)",41,20,4,8,1
org.apache.avro.io.TestValidatingIO.data(),3,1,2,4,0
org.apache.avro.io.TestValidatingIO.convertTo2dArray(Object[][]...),13,3,4,8,2
org.apache.avro.io.TestValidatingIO.cartesian(Object[][]...),30,1,1,1,2
org.apache.avro.io.TestValidatingIO.concat(Object[]...),13,3,4,2,2
org.apache.avro.io.TestValidatingIO.paste(Object[][]...),11,3,2,2,2
org.apache.avro.io.TestValidatingIO.testSchemas(),164,1,1,1,0
org.apache.avro.io.TestValidatingIO.dump(byte[]),11,3,2,3,1
org.apache.avro.io.DecoderFactory.DecoderFactory(),3,1,1,1,0
org.apache.avro.io.DecoderFactory.defaultFactory(),3,1,21,1,0
org.apache.avro.io.DecoderFactory.configureDecoderBufferSize(int),8,3,2,2,0
