id, seed, size, upperDepth, upperWidth, lowerDepth, lowerWidth
171,"org.apache.ivy.plugins.resolver.ChainResolver.findIvyFileRef(DependencyDescriptor, ResolveData)",2,0,0,1,1
172,org.apache.ivy.plugins.namespace.MRIDTransformationRule.addSrc(MRIDRule),1,0,0,0,0
173,"org.apache.ivy.osgi.util.DelegatingHandler.getRequiredBooleanAttribute(Attributes, String)",4,0,0,2,2
174,org.apache.ivy.osgi.updatesite.xml.EclipseUpdateSiteParser.CategoryHandler.CategoryHandler(),5,3,1,1,1
175,"org.apache.ivy.ant.IvyRepositoryReport.gengraph(ResolutionCacheManager, String, String)",746,15,100,3,4
176,org.apache.ivy.core.IvyContext.getMessageLogger(),428,23,81,1,3
177,"org.apache.ivy.plugins.repository.AbstractRepository.put(File, String, boolean)",3,1,1,1,1
178,org.apache.ivy.core.report.ResolveReport.setDownloadSize(long),301,14,48,0,0
179,org.apache.ivy.plugins.namespace.Namespace.addRule(NamespaceRule),1,0,0,0,0
180,org.apache.ivy.osgi.util.VersionRange.VersionRangeParser.parseVersion(),12,2,3,2,4
181,org.apache.ivy.plugins.resolver.DualResolver.setAllownomd(boolean),11,0,0,4,5
182,"org.apache.ivy.util.url.URLHandler.getURLInfo(URL, int)",9,2,4,0,0
183,org.apache.ivy.core.module.descriptor.ExtendsDescriptor.isLocal(),191,15,49,0,0
184,org.apache.ivy.core.module.descriptor.DependencyDescriptor.getDependencyConfigurations(String),349,17,59,0,0
185,org.apache.ivy.osgi.p2.P2ArtifactParser.RuleHandler.handleAttributes(Attributes),1,0,0,0,0
186,org.apache.ivy.core.cache.DefaultRepositoryCacheManager.setDataFilePattern(String),2,0,0,1,1
187,org.apache.ivy.util.url.AbstractURLHandler.normalizeToURL(URL),47,5,14,1,1
188,org.apache.ivy.osgi.repo.AbstractOSGiResolver.setRepoDescriptor(RepoDescriptor),142,8,45,0,0
189,org.apache.ivy.plugins.lock.FileBasedLockStrategy.getCurrentLockHolderNames(File),17,6,5,0,0
190,"org.apache.ivy.util.MessageLoggerEngine.log(String, int)",6,0,0,3,2
191,org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.newParser(ParserSettings),102,9,20,2,1
192,org.apache.ivy.core.search.OrganisationEntry.getResolver(),4,2,2,0,0
193,org.apache.ivy.core.settings.IvySettings.addResolver(DependencyResolver),9,1,1,2,5
194,org.apache.ivy.osgi.repo.AggregatedRepoDescriptor.getCapabilities(),2,0,0,1,1
