method,Time,OwnTime,count
org.apache.pdfbox.preflight.PreflightContext.addValidationError(ValidationResult$ValidationError),0,0,87
"org.apache.pdfbox.io.ccitt.PackedBitArray.clearBits(int, int)",0,0,33
org.apache.pdfbox.pdmodel.fdf.FDFField.getOptions(),2,0,5
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDStandardAttributeObject_ESTest.test50(),0,0,1
org.apache.jempbox.xmp.XMPMetadata.init(),4,3,317
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure_ESTest.test00(),0,0,1
org.apache.pdfbox.pdmodel.font.PDFontDescriptorAFM_ESTest.test23(),0,0,1
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),0,0,4
org.apache.pdfbox.pdmodel.common.filespecification.PDComplexFileSpecification_ESTest.test23(),0,0,1
org.apache.pdfbox.pdmodel.interactive.form.PDField.getKids(),0,0,72
org.apache.pdfbox.util.ImageParameters_ESTest.test28(),0,0,1
org.apache.pdfbox.io.RandomAccessFileOutputStream_ESTest.test07(),0,0,1
org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType4_ESTest.test00(),0,0,1
org.apache.pdfbox.examples.pdmodel.AddMessageToEachPage.main(String[]),1,0,3
org.apache.pdfbox.preflight.utils.COSUtils_ESTest.test22(),0,0,1
org.apache.pdfbox.io.RandomAccessBufferedFileInputStream_ESTest.test33(),0,0,1
org.apache.pdfbox.pdmodel.interactive.measurement.PDMeasureDictionary_ESTest.<init>(),0,0,11
org.apache.pdfbox.util.PDFCloneUtility_ESTest.test12(),0,0,1
org.apache.pdfbox.examples.pdmodel.HelloWorld_ESTest.test2(),2,0,1
java.util.zip.DeflaterOutputStream.close(),0,0,3
org.apache.xmpbox.schema.DublinCoreSchema_ESTest.test017(),1,0,1
org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDPropBuild_ESTest.<init>(),0,0,13
org.apache.pdfbox.pdmodel.common.PDStream_ESTest.test24(),0,0,1
