method,method,invocation counts
"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",org.apache.tools.ant.types.PatternSet$NameEntry.evalName(Project),98
org.apache.tools.ant.types.PatternSet$NameEntry.evalName(Project),org.apache.tools.ant.types.PatternSet$NameEntry.valid(Project),98
"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",java.lang.String.length(),98
"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",java.util.Vector.addElement(Object),98
"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",java.util.Vector.copyInto(Object[]),87
"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",java.util.Vector.elements(),87
"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",java.util.Vector$1.nextElement(),98
org.apache.tools.ant.types.PatternSet.getExcludePatterns(Project),org.apache.tools.ant.types.PatternSet.readFiles(Project),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)","org.apache.tools.ant.Project.log(String, int)",73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.DirectoryScanner.setExcludes(String[]),73
org.apache.tools.ant.DirectoryScanner.setExcludes(String[]),java.lang.String.endsWith(String),26
org.apache.tools.ant.DirectoryScanner.setExcludes(String[]),"java.lang.String.replace(char, char)",52
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.types.PatternSet.getIncludePatterns(Project),73
org.apache.tools.ant.types.PatternSet.getIncludePatterns(Project),"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",73
org.apache.tools.ant.types.PatternSet.getIncludePatterns(Project),org.apache.tools.ant.types.PatternSet.readFiles(Project),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.types.AbstractFileSet.getSelectors(Project),73
org.apache.tools.ant.types.AbstractFileSet.getSelectors(Project),java.util.Vector.copyInto(Object[]),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",java.lang.StringBuffer.<init>(),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",java.lang.StringBuffer.toString(),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.DirectoryScanner.setIncludes(String[]),73
org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),java.io.File.exists(),73
org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),java.io.File.isDirectory(),73
org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),org.apache.tools.ant.DirectoryScanner.<init>(),73
org.apache.tools.ant.DirectoryScanner.<init>(),java.util.HashSet.<init>(),73
org.apache.tools.ant.DirectoryScanner.<init>(),java.util.HashMap.<init>(),73
org.apache.ivy.ant.IvyCacheFilesetTest.testEmptyConf(),org.apache.ivy.ant.IvyTask.execute(),1
org.apache.ivy.ant.IvyTask.execute(),org.apache.ivy.ant.IvyCacheFileset.doExecute(),5
org.apache.ivy.ant.IvyCacheFileset.doExecute(),org.apache.ivy.ant.IvyPostResolveTask.prepareAndCheck(),7
org.apache.ivy.ant.IvyPostResolveTask.prepareAndCheck(),org.apache.ivy.ant.IvyPostResolveTask.ensureResolved(IvySettings),46
org.apache.ivy.ant.IvyPostResolveTask.ensureResolved(IvySettings),org.apache.ivy.ant.IvyTask.execute(),36
org.apache.ivy.ant.IvyTask.execute(),org.apache.ivy.ant.IvyResolve.doExecute(),144
org.apache.ivy.ant.IvyResolve.doExecute(),"org.apache.ivy.Ivy.resolve(URL, ResolveOptions)",134
"org.apache.ivy.Ivy.resolve(URL, ResolveOptions)","org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions)",144
"org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions)","org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean)",163
"org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean)","org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",465
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.parse(),596
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.parse(),"org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler)",603
"org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler)","org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler, LexicalHandler)",621
"org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler, LexicalHandler)","org.apache.ivy.util.XMLHelper.parse(InputSource, URL, DefaultHandler, LexicalHandler)",592
"org.apache.ivy.util.XMLHelper.parse(InputSource, URL, DefaultHandler, LexicalHandler)","javax.xml.parsers.SAXParser.parse(InputSource, DefaultHandler)",832
"javax.xml.parsers.SAXParser.parse(InputSource, DefaultHandler)",org.apache.xerces.parsers.AbstractSAXParser.parse(InputSource),831
org.apache.xerces.parsers.AbstractSAXParser.parse(InputSource),org.apache.xerces.parsers.XMLParser.parse(XMLInputSource),5552
org.apache.xerces.parsers.XMLParser.parse(XMLInputSource),org.apache.xerces.parsers.XML11Configuration.parse(XMLInputSource),5659
org.apache.xerces.parsers.XML11Configuration.parse(XMLInputSource),org.apache.xerces.parsers.XML11Configuration.parse(boolean),5658
org.apache.xerces.parsers.XML11Configuration.parse(boolean),org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanDocument(boolean),5643
org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanDocument(boolean),org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher.dispatch(boolean),6125
org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher.dispatch(boolean),org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher.scanRootElementHook(),1056
org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher.scanRootElementHook(),org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanStartElement(),1056
org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanStartElement(),"org.apache.xerces.impl.xs.XMLSchemaValidator.startElement(QName, XMLAttributes, Augmentations)",1246
